[00:00.570 --> 00:02.570]  And we are live.
[06:59:25.470 --> 06:59:27.470]  blue lab meter. Yeah the blue lab
[06:59:27.470 --> 06:59:29.470]  meter. Yeah.
[06:59:29.470 --> 06:59:31.470]  I'm not a big fan of them.
[06:59:31.470 --> 06:59:33.470]  Canada makes pretty good
[06:59:33.470 --> 06:59:35.470]  meters
[06:59:35.470 --> 06:59:37.470]  those are the ones I used in the past but
[06:59:37.470 --> 06:59:39.470]  the problem too is
[06:59:39.470 --> 06:59:41.470]  How about the hydrometer?
[06:59:41.470 --> 06:59:43.470]  So I
[06:59:43.470 --> 06:59:45.470]  have one and I never actually got to
[06:59:45.470 --> 06:59:47.470]  got around to using it
[06:59:47.470 --> 06:59:49.470]  it's a hydrometer to
[06:59:49.470 --> 06:59:51.470]  check
[06:59:51.470 --> 06:59:53.470]  the soil to water
[06:59:53.470 --> 06:59:55.470]  tension so you can use those
[06:59:55.470 --> 06:59:57.470]  and that basically tells you
[06:59:57.470 --> 06:59:59.470]  you know how difficult
[06:59:59.470 --> 07:00:01.470]  it's going to be for a plant
[07:00:01.470 --> 07:00:03.470]  to you know absorb
[07:00:03.470 --> 07:00:05.470]  that water. It basically measures
[07:00:05.470 --> 07:00:07.470]  water tension so
[07:00:07.470 --> 07:00:09.470]  but I haven't got to use it. I bought one and I was
[07:00:09.470 --> 07:00:11.470]  like I'm going to check all this and it's
[07:00:11.470 --> 07:00:13.470]  you know how
[07:00:13.470 --> 07:00:15.470]  I'm spread pretty thin right now. I have a lot
[07:00:15.470 --> 07:00:17.470]  going on so I'm just trying to catch everything up
[07:00:17.470 --> 07:00:19.470]  and all the time.
[07:00:19.470 --> 07:00:21.470]  I'm going to be honest so I just
[07:00:21.470 --> 07:00:23.470]  a couple notes and actually
[07:00:23.470 --> 07:00:25.470]  if you're going to put in a lot of these systems
[07:00:25.470 --> 07:00:27.470]  you're looking at putting in the urometer
[07:00:27.470 --> 07:00:29.470]  and you can kind of set up an engineering
[07:00:29.470 --> 07:00:31.470]  sort of system
[07:00:31.470 --> 07:00:33.470]  where you have pressure meters that
[07:00:33.470 --> 07:00:35.470]  rebuild the barn and it's just set up
[07:00:35.470 --> 07:00:37.470]  like any other sort of engineering system to
[07:00:37.470 --> 07:00:39.470]  a PLC and that's kind of
[07:00:39.470 --> 07:00:41.470]  like a way to do it but if you're trying to take meters
[07:00:41.470 --> 07:00:43.470]  and put them in, I've noticed I'm not getting
[07:00:43.470 --> 07:00:45.470]  accurate meters. Having them in place
[07:00:45.470 --> 07:00:47.470]  is kind of the way to prevent that.
[07:00:47.470 --> 07:00:49.470]  So just a couple notes. So what I've talked to
[07:00:49.470 --> 07:00:51.470]  a couple people who work in
[07:00:51.470 --> 07:00:53.470]  real time data collection and using scientific
[07:00:53.470 --> 07:00:55.470]  instrumentation, they've had a lot of
[07:00:55.470 --> 07:00:57.470]  trouble collecting
[07:00:57.470 --> 07:00:59.470]  accurate data because what happens
[07:00:59.470 --> 07:01:01.470]  is biofilms usually
[07:01:01.470 --> 07:01:03.470]  start to build
[07:01:03.470 --> 07:01:05.470]  up on the instrumentation and get
[07:01:05.470 --> 07:01:07.470]  false readings. So
[07:01:07.470 --> 07:01:09.470]  there's been some solutions where
[07:01:09.470 --> 07:01:11.470]  they'll use like a buffer
[07:01:11.470 --> 07:01:13.470]  or they'll use like a thin layer of like sand
[07:01:13.470 --> 07:01:15.470]  or something like that
[07:01:15.470 --> 07:01:17.470]  or like water for instance like that.
[07:01:17.470 --> 07:01:19.470]  But yeah
[07:01:19.470 --> 07:01:21.470]  when we do, when we set up
[07:01:21.470 --> 07:01:23.470]  our BlueMath systems we're going to use a water
[07:01:23.470 --> 07:01:25.470]  tension meter
[07:01:25.470 --> 07:01:27.470]  to set those
[07:01:27.470 --> 07:01:29.470]  things because that's ideally
[07:01:29.470 --> 07:01:31.470]  like
[07:01:31.470 --> 07:01:33.470]  I have
[07:01:33.470 --> 07:01:35.470]  18 to 24 inches of soil
[07:01:35.470 --> 07:01:37.470]  in the bed. 24 in one house,
[07:01:37.470 --> 07:01:39.470]  18 in the other house. So I need to be
[07:01:39.470 --> 07:01:41.470]  able to have that
[07:01:41.470 --> 07:01:43.470]  whole entire
[07:01:43.470 --> 07:01:45.470]  thing of soil
[07:01:45.470 --> 07:01:47.470]  be adequately
[07:01:47.470 --> 07:01:49.470]  hydrated consistently
[07:01:49.470 --> 07:01:51.470]  across the whole thing.
[07:01:51.470 --> 07:01:53.470]  So I'm not only going to just check one,
[07:01:53.470 --> 07:01:55.470]  I'm going to have to go and check all these different areas
[07:01:55.470 --> 07:01:57.470]  in the bed to make sure the water tension
[07:01:57.470 --> 07:01:59.470]  is where it needs to be before
[07:01:59.470 --> 07:02:01.470]  I start plugging in those carrots and
[07:02:01.470 --> 07:02:03.470]  setting those carrots in because I don't think
[07:02:03.470 --> 07:02:05.470]  it would be, it's going to be better to
[07:02:05.470 --> 07:02:07.470]  use another data point as opposed
[07:02:07.470 --> 07:02:09.470]  to me just going in and watering and saying
[07:02:09.470 --> 07:02:11.470]  oh this feels good.
[07:02:11.470 --> 07:02:13.470]  I have to dig in there and
[07:02:13.470 --> 07:02:15.470]  make sure that everything is good
[07:02:15.470 --> 07:02:17.470]  or use
[07:02:17.470 --> 07:02:19.470]  a scientific instrument that does it
[07:02:19.470 --> 07:02:21.470]  for me and just says hey
[07:02:21.470 --> 07:02:23.470]  this is where you're at.
[07:02:23.470 --> 07:02:25.470]  That's what I like because it gives me
[07:02:25.470 --> 07:02:27.470]  more fool proof for me.
[07:02:27.470 --> 07:02:29.470]  It eliminates a lot of the guessing because
[07:02:29.470 --> 07:02:31.470]  I've been doing this a long time
[07:02:31.470 --> 07:02:33.470]  and I've grown great weed but
[07:02:33.470 --> 07:02:35.470]  I don't want
[07:02:35.470 --> 07:02:37.470]  when you're going at scale
[07:02:37.470 --> 07:02:39.470]  it's just got to be consistent all the way through.
[07:02:39.470 --> 07:02:41.470]  I don't want any hiccups.
[07:02:41.470 --> 07:02:43.470]  You can have
[07:02:45.470 --> 07:02:47.470]  you can have things
[07:02:47.470 --> 07:02:49.470]  shift and
[07:02:49.470 --> 07:02:51.470]  be different if you're not
[07:02:51.470 --> 07:02:53.470]  consistently on top
[07:02:53.470 --> 07:02:55.470]  of the data collection.
[07:02:55.470 --> 07:02:57.470]  It's like I've had pots before
[07:02:57.470 --> 07:02:59.470]  I started testing
[07:02:59.470 --> 07:03:01.470]  data that I overloaded with
[07:03:01.470 --> 07:03:03.470]  top-dose supplements and I couldn't figure out
[07:03:03.470 --> 07:03:05.470]  what was going on. All these things are
[07:03:05.470 --> 07:03:07.470]  prematurely
[07:03:07.470 --> 07:03:09.470]  looking like they're maybe nitrogen
[07:03:09.470 --> 07:03:11.470]  but it's like they can't possibly be
[07:03:11.470 --> 07:03:13.470]  nitrogen or it looks like
[07:03:13.470 --> 07:03:15.470]  they need magnesium but
[07:03:15.470 --> 07:03:17.470]  I put in all the steps and saw what's going on
[07:03:17.470 --> 07:03:19.470]  and it really just shows
[07:03:19.470 --> 07:03:21.470]  the imbalances that can be in there
[07:03:21.470 --> 07:03:23.470]  and how it fits that.
[07:03:23.470 --> 07:03:25.470]  So it just takes the guess work out.
[07:03:25.470 --> 07:03:27.470]  I also have
[07:03:27.470 --> 07:03:29.470]  this one more note.
[07:03:29.470 --> 07:03:31.470]  Good points by the way.
[07:03:31.470 --> 07:03:33.470]  One more question. So do you ever do
[07:03:33.470 --> 07:03:35.470]  water to run off?
[07:03:35.470 --> 07:03:37.470]  No. Or maybe for just
[07:03:37.470 --> 07:03:39.470]  certain things or do you just
[07:03:39.470 --> 07:03:41.470]  keep it all balanced and make sure
[07:03:41.470 --> 07:03:43.470]  nothing gets into the system?
[07:03:43.470 --> 07:03:45.470]  In these types of
[07:03:45.470 --> 07:03:47.470]  systems, when we're
[07:03:47.470 --> 07:03:49.470]  talking about systems that are just
[07:03:49.470 --> 07:03:51.470]  sufficiently balanced,
[07:03:51.470 --> 07:03:53.470]  there's only a couple of times where you would want
[07:03:53.470 --> 07:03:55.470]  to flush out the system. And that's when
[07:03:55.470 --> 07:03:57.470]  there's been a toxic buildup
[07:03:57.470 --> 07:03:59.470]  and that's typically going to be something like sodium
[07:03:59.470 --> 07:04:01.470]  bicarbonate.
[07:04:01.470 --> 07:04:03.470]  So
[07:04:03.470 --> 07:04:05.470]  sodium is a major cation.
[07:04:05.470 --> 07:04:07.470]  You're going to find it in soil but you want to keep it
[07:04:07.470 --> 07:04:09.470]  really low. Across
[07:04:09.470 --> 07:04:11.470]  the board typically in
[07:04:11.470 --> 07:04:13.470]  organic agriculture, especially
[07:04:13.470 --> 07:04:15.470]  cannabis, the use of
[07:04:15.470 --> 07:04:17.470]  sea inputs has been
[07:04:17.470 --> 07:04:19.470]  highly used. And so what I
[07:04:19.470 --> 07:04:21.470]  typically see is someone who will go and build
[07:04:21.470 --> 07:04:23.470]  a soil, like a
[07:04:23.470 --> 07:04:25.470]  super soil for instance, and they'll load it up
[07:04:25.470 --> 07:04:27.470]  with things like kelp
[07:04:27.470 --> 07:04:29.470]  and crab meal, crustacean
[07:04:29.470 --> 07:04:31.470]  meal, oyster
[07:04:31.470 --> 07:04:33.470]  shell, and then
[07:04:33.470 --> 07:04:35.470]  maybe add some
[07:04:35.470 --> 07:04:37.470]  sea
[07:04:37.470 --> 07:04:39.470]  90,
[07:04:39.470 --> 07:04:41.470]  sea minerals and stuff.
[07:04:41.470 --> 07:04:43.470]  And what will typically
[07:04:43.470 --> 07:04:45.470]  happen is
[07:04:45.470 --> 07:04:47.470]  they bring in a lot
[07:04:47.470 --> 07:04:49.470]  of sodium. Sodium is
[07:04:49.470 --> 07:04:51.470]  super antagonistic.
[07:04:51.470 --> 07:04:53.470]  It's the most antagonistic
[07:04:53.470 --> 07:04:55.470]  cation there is.
[07:04:55.470 --> 07:04:57.470]  And so when your
[07:04:57.470 --> 07:04:59.470]  levels start to increase, it
[07:04:59.470 --> 07:05:01.470]  takes away the plant's ability
[07:05:01.470 --> 07:05:03.470]  to absorb the calcium,
[07:05:03.470 --> 07:05:05.470]  the magnesium, and the potassium.
[07:05:05.470 --> 07:05:07.470]  So keeping those low
[07:05:07.470 --> 07:05:09.470]  is going to improve
[07:05:09.470 --> 07:05:11.470]  your ability for the
[07:05:11.470 --> 07:05:13.470]  plant to sequester those nutrients.
[07:05:13.470 --> 07:05:15.470]  You know?
[07:05:15.470 --> 07:05:17.470]  Do you think
[07:05:17.470 --> 07:05:19.470]  will sodium naturally
[07:05:19.470 --> 07:05:21.470]  build up over time?
[07:05:21.470 --> 07:05:23.470]  Will you eventually just have to flush it back
[07:05:23.470 --> 07:05:25.470]  or something? I haven't
[07:05:25.470 --> 07:05:27.470]  seen it, but the thing is I'm not adding any
[07:05:27.470 --> 07:05:29.470]  sodium as far as
[07:05:29.470 --> 07:05:31.470]  that are in my inputs. Because I stopped
[07:05:31.470 --> 07:05:33.470]  using things like kelp. I stopped using
[07:05:33.470 --> 07:05:35.470]  meals because meals typically
[07:05:35.470 --> 07:05:37.470]  have, like let's take
[07:05:37.470 --> 07:05:39.470]  crab meal for instance. It's typically
[07:05:39.470 --> 07:05:41.470]  something like
[07:05:41.470 --> 07:05:43.470]  2% nitrogen,
[07:05:43.470 --> 07:05:45.470]  maybe 4%
[07:05:45.470 --> 07:05:47.470]  phosphorus, and maybe
[07:05:47.470 --> 07:05:49.470]  1% potassium, or something like
[07:05:49.470 --> 07:05:51.470]  that. Take that for instance.
[07:05:51.470 --> 07:05:53.470]  Now I might not be deficient in potassium.
[07:05:53.470 --> 07:05:55.470]  I might not be deficient in nitrogen.
[07:05:55.470 --> 07:05:57.470]  I just need phosphorus. So what I do
[07:05:57.470 --> 07:05:59.470]  is I go to a single mineral input instead of
[07:05:59.470 --> 07:06:01.470]  a meal because the meals
[07:06:01.470 --> 07:06:03.470]  only make sense to me
[07:06:03.470 --> 07:06:05.470]  on a standpoint if I'm deficient
[07:06:05.470 --> 07:06:07.470]  in the need to get all those elements
[07:06:07.470 --> 07:06:09.470]  that that thing possesses into
[07:06:09.470 --> 07:06:11.470]  the system. That's why
[07:06:11.470 --> 07:06:13.470]  I opt for single mineral
[07:06:13.470 --> 07:06:15.470]  inputs and most of them are water soluble.
[07:06:15.470 --> 07:06:17.470]  So when you contrast,
[07:06:17.470 --> 07:06:19.470]  they're going to go into that system
[07:06:19.470 --> 07:06:21.470]  and they're going to become available.
[07:06:21.470 --> 07:06:25.120]  I do
[07:06:25.120 --> 07:06:27.120]  have one more quick question.
[07:06:27.120 --> 07:06:29.120]  Kind of pertaining to that.
[07:06:29.120 --> 07:06:31.120]  As we shift more towards
[07:06:31.120 --> 07:06:33.120]  having irrigation
[07:06:33.120 --> 07:06:35.120]  systems, I'm a person
[07:06:35.120 --> 07:06:37.120]  looking into this,
[07:06:37.120 --> 07:06:39.120]  if we're not doing
[07:06:39.120 --> 07:06:41.120]  top watering, I'm concerned about
[07:06:41.120 --> 07:06:43.120]  my mulch, first off,
[07:06:43.120 --> 07:06:45.120]  in my system not being properly broken down
[07:06:45.120 --> 07:06:47.120]  or top dressings not getting properly
[07:06:47.120 --> 07:06:49.120]  moistened from the system
[07:06:49.120 --> 07:06:51.120]  not having as good a dispersion.
[07:06:51.120 --> 07:06:53.120]  Yeah. I mean
[07:06:53.120 --> 07:06:55.120]  most of
[07:06:55.120 --> 07:06:57.120]  I don't really know anybody
[07:06:57.120 --> 07:06:59.120]  who's growing cannabis
[07:06:59.120 --> 07:07:01.120]  aside from some people who do the
[07:07:01.120 --> 07:07:03.120]  irrigated planters that aren't
[07:07:03.120 --> 07:07:05.120]  top watering.
[07:07:05.120 --> 07:07:07.120]  So
[07:07:07.120 --> 07:07:09.120]  that being said, it's kind of
[07:07:09.120 --> 07:07:11.120]  standard across the
[07:07:11.120 --> 07:07:13.120]  board for organics that people
[07:07:13.120 --> 07:07:15.120]  use top dresses.
[07:07:15.120 --> 07:07:17.120]  So what
[07:07:17.120 --> 07:07:19.120]  was the question though? Sorry.
[07:07:19.120 --> 07:07:21.120]  Do you think
[07:07:21.120 --> 07:07:23.120]  that there's going to be challenges
[07:07:23.120 --> 07:07:25.120]  to getting a proper
[07:07:25.120 --> 07:07:27.120]  dispersion once we switch to these systems?
[07:07:27.120 --> 07:07:29.120]  I feel like
[07:07:29.120 --> 07:07:31.120]  single drippers are not going to
[07:07:31.120 --> 07:07:33.120]  do the same effects. We're going to have a different
[07:07:33.120 --> 07:07:35.120]  cycling of the nutrients
[07:07:35.120 --> 07:07:37.120]  because some of this stuff is just not breaking down.
[07:07:37.120 --> 07:07:39.120]  It's not moist. It's not soiled blood.
[07:07:39.120 --> 07:07:41.120]  You definitely want to keep
[07:07:41.120 --> 07:07:43.120]  adequate moisture levels in the system
[07:07:43.120 --> 07:07:45.120]  for them to function properly.
[07:07:45.120 --> 07:07:47.120]  That is a huge thing. I understand what you're
[07:07:47.120 --> 07:07:49.120]  saying. We're just
[07:07:49.120 --> 07:07:51.120]  hooking up our dripper systems.
[07:07:51.120 --> 07:07:53.120]  Cody over here has been helping out at the farm.
[07:07:53.120 --> 07:07:55.120]  And
[07:07:55.120 --> 07:07:57.120]  the thing is
[07:07:57.120 --> 07:07:59.120]  if you had
[07:07:59.120 --> 07:08:01.120]  like with the drippers that we had, if we had
[07:08:01.120 --> 07:08:03.120]  a lot larger size pot,
[07:08:03.120 --> 07:08:05.120]  it wouldn't work because there's a lot
[07:08:05.120 --> 07:08:07.120]  more surface area that needs to be
