[00:00.250 --> 00:03.890]  All right, take two.
[02:47:46.010 --> 02:47:47.610]  That stuff was the fucking shit.
[02:47:48.250 --> 02:47:48.810]  God damn.
[02:47:48.810 --> 02:47:49.770]  That stuff was good.
[02:47:50.650 --> 02:47:57.370]  Um, second to that, you know, five areas, I like G 13 Hayes too, but I know five days
[02:47:57.370 --> 02:47:59.370]  was more, I don't know.
[02:47:59.370 --> 02:48:04.570]  Some of that incense smell at Frankincense, back to the type of funk that used to really
[02:48:04.570 --> 02:48:07.130]  do it for me, but I'd uptown poke, man.
[02:48:07.130 --> 02:48:10.570]  That was all right.
[02:48:10.570 --> 02:48:12.650]  Details on granny scum.
[02:48:12.650 --> 02:48:18.010]  Um, I don't know what that means.
[02:48:18.890 --> 02:48:21.930]  Um, let's see.
[02:48:22.490 --> 02:48:23.930]  Yeah, it was really good.
[02:48:23.930 --> 02:48:25.050]  Third, call the Lord.
[02:48:25.050 --> 02:48:26.090]  And he's going to create one.
[02:48:26.090 --> 02:48:26.970]  See that?
[02:48:26.970 --> 02:48:27.450]  Yes.
[02:48:27.450 --> 02:48:27.770]  Yes.
[02:48:27.770 --> 02:48:28.170]  I am.
[02:48:28.170 --> 02:48:29.770]  There's quite a, quite a few.
[02:48:30.410 --> 02:48:35.770]  Um, but anybody that knows anything about me, man, I keep shit under my hat.
[02:48:35.770 --> 02:48:36.570]  And so I'm ready.
[02:48:36.570 --> 02:48:40.810]  Like it's already made, tested and ready before I even start showing a picture of the process.
[02:48:41.450 --> 02:48:47.130]  There's too many between the scammers and people just looking to ride, ride your dick.
[02:48:47.850 --> 02:48:49.210]  Um, you, you got it.
[02:48:49.210 --> 02:48:51.450]  You got to keep showing your hat till it's hammer time.
[02:48:52.090 --> 02:48:55.290]  I lay about the time they even try to claim they're doing this or that.
[02:48:55.290 --> 02:48:59.130]  I'm already like three steps ahead on other projects and it doesn't matter.
[02:48:59.130 --> 02:49:05.050]  So, um, yeah, so you just have to kind of, kind of stay tuned and, uh, yeah, you'll see
[02:49:06.410 --> 02:49:10.570]  favorite top dressing, uh, insect grass, earthworm,
[02:49:11.450 --> 02:49:16.100]  combo, great combo.
[02:49:17.620 --> 02:49:17.860]  Yeah.
[02:49:19.620 --> 02:49:22.820]  Crease that fun job big time with that and bacteria.
[02:49:24.820 --> 02:49:25.140]  Hmm.
[02:49:27.220 --> 02:49:28.980]  That's a, that's a tough one.
[02:49:28.980 --> 02:49:30.420]  There's a few of them.
[02:49:31.300 --> 02:49:33.780]  There's been a few for my, for my youth.
[02:49:34.660 --> 02:49:40.740]  Um, man, too many, too many dimension really.
[02:49:40.820 --> 02:49:44.900]  Um, let's say the all time heartbreaker.
[02:49:47.860 --> 02:49:52.340]  Oh no, man, that, that cuttlefish hash plant was a kind of heartbreaking.
[02:49:56.420 --> 02:50:00.340]  There have been poison blue tritons.
[02:50:01.220 --> 02:50:05.060]  Um, Durban was a, was a good one.
[02:50:05.060 --> 02:50:11.780]  Um, uh, the effect of it was, was the, was the main, the main thing that used to get me,
[02:50:12.900 --> 02:50:19.140]  I used to like, uh, I mean, used to like, um, always, you know, I liked, uh, good Sativas.
[02:50:19.140 --> 02:50:20.820]  They always got overlooked.
[02:50:20.820 --> 02:50:25.860]  Um, anybody's ever had to like do a lot of work and do shit during the day can appreciate
[02:50:25.860 --> 02:50:27.380]  a good, a good Sativa.
[02:50:27.940 --> 02:50:32.580]  Um, cultivars that produce like, you know, colorful resins and shit like that.
[02:50:32.580 --> 02:50:33.540]  They're always cool.
[02:50:33.540 --> 02:50:38.820]  Especially like when it's like not water soluble and you got some colorful bubble or colorful
[02:50:38.820 --> 02:50:41.460]  rousing and it's just, it's just kind of cool looking, you know?
[02:50:45.700 --> 02:50:47.860]  Um, selfing's cool.
[02:50:47.860 --> 02:50:53.060]  Um, just like any other breeding technique, sometimes it works, sometimes it doesn't.
[02:50:53.060 --> 02:50:55.700]  Uh, you know, your results kind of will vary.
[02:50:56.260 --> 02:51:00.740]  Um, sometimes you got an S2 or S3 to really lock something down.
[02:51:00.820 --> 02:51:05.300]  Sometimes when you S1, you know, you'll notice things get all stretchy on you or weird, or
[02:51:05.300 --> 02:51:09.460]  you end up with stuff that's dead on and doesn't produce resin.
[02:51:09.460 --> 02:51:11.860]  Um, it's just one of those deals, man.
[02:51:11.860 --> 02:51:17.060]  You, you gotta kinda, you just gotta kinda put yourself out there and try it and see
[02:51:17.060 --> 02:51:18.180]  where you're at first.
[02:51:18.900 --> 02:51:21.460]  Um, and, and, and go from there.
[02:51:21.460 --> 02:51:26.980]  Cause just like with, you know, breeding filial or back processing, like it doesn't always
[02:51:26.980 --> 02:51:32.340]  exactly work, you know, exactly the way that you, you think it's going to.
[02:51:32.340 --> 02:51:36.980]  That's why it's good to have like multiple techniques of getting to a, getting to a place.
[02:51:36.980 --> 02:51:41.620]  So selfing's just one of many, many, many options you can use.
[02:51:41.620 --> 02:51:44.500]  And it might, it might could work really awesome.
[02:51:45.060 --> 02:51:46.340]  It might be mediocre.
[02:51:46.340 --> 02:51:49.140]  It is totally just blue bar, man.
[02:51:49.140 --> 02:51:53.060]  So it's just one thing, just give it a shot and see what you, see what you get.
[02:51:58.220 --> 02:51:59.500]  Yes, yes I do.
[02:52:00.460 --> 02:52:01.260]  Yes I do.
[02:52:02.220 --> 02:52:03.820]  Yeah, the rumors are true.
[02:52:03.820 --> 02:52:04.380]  Definitely.
[02:52:04.380 --> 02:52:05.500]  I definitely do that.
[02:52:06.300 --> 02:52:06.780]  Guilty.
[02:52:07.660 --> 02:52:08.220]  Yeah.
[02:52:08.220 --> 02:52:11.100]  Works great for terpene terpene production.
[02:52:11.100 --> 02:52:11.580]  Oh yeah.
[02:52:12.220 --> 02:52:12.720]  Yeah.
[02:52:13.180 --> 02:52:19.100]  That's nutrient center too, you know, black chain, nutrient film tray.
[02:52:20.460 --> 02:52:21.660]  Oh, NFTs.
[02:52:21.660 --> 02:52:27.660]  I thought I said nutrient film trays, uh, beating program, uh, go to breeding program
[02:52:28.300 --> 02:52:30.540]  effort and building a great portfolio.
[02:52:30.540 --> 02:52:33.980]  I'm just going to pop in and say that technology is way ahead of me.
[02:52:33.980 --> 02:52:38.380]  Anyways, I didn't know if you'd be familiar with it, but I put it up anyways.
[02:52:38.380 --> 02:52:41.980]  And I love that you pulled the NFT, the nutrient film tray out of it.
[02:52:41.980 --> 02:52:43.660]  That's a, that's a grower right there.
[02:52:43.660 --> 02:52:44.460]  That's a grower.
[02:52:46.940 --> 02:52:52.300]  NFT the one thing no one can explain, you know, that's what I seem to find out of it.
[02:52:53.180 --> 02:52:53.820]  Yeah.
[02:52:53.820 --> 02:52:56.060]  How's positive track work on employment?
[02:52:56.060 --> 02:52:56.780]  It just do.
[02:52:57.820 --> 02:53:05.580]  Um, so, um, as far as like people working together, um, it can happen.
[02:53:06.300 --> 02:53:11.340]  Um, it's a weird, it's a weird thing.
[02:53:11.340 --> 02:53:15.260]  It's like, you know, you're getting too many cooks in the, in the kitchen and it'll lead
[02:53:15.260 --> 02:53:19.980]  to problems sometimes, sometimes it can work out, you know, it's just getting the right
[02:53:19.980 --> 02:53:23.980]  people with the right goal to, uh, to do something like that.
[02:53:23.980 --> 02:53:27.020]  Um, a lot of old heads, man, a real paranoid.
[02:53:27.100 --> 02:53:28.700]  They don't, they don't trust other people.
[02:53:28.700 --> 02:53:32.860]  They don't trust people around the shit with as much fuckery that's been going on.
[02:53:33.500 --> 02:53:35.340]  As far as I can remember, and it gets worse.
[02:53:36.060 --> 02:53:40.460]  Um, you know, um, it doesn't, it doesn't surprise me.
[02:53:41.020 --> 02:53:45.420]  Um, but sometimes you get like a group of friends that do trust each other that are
[02:53:45.420 --> 02:53:48.780]  working toward a goal that can make some, some cool shit happen.
[02:53:49.340 --> 02:53:54.940]  So, um, that's just, that's just one of them things like me, me personally.
[02:53:54.940 --> 02:54:00.380]  Um, you know, I, I'm, I'm pretty, I'm a pretty funny guy, man.
[02:54:00.380 --> 02:54:01.820]  I ain't gonna, I ain't gonna lie.
[02:54:01.820 --> 02:54:03.820]  So like somebody just hits me up out of the blue.
[02:54:03.820 --> 02:54:03.980]  Yeah.
[02:54:03.980 --> 02:54:04.700]  You want to do this?
[02:54:04.700 --> 02:54:05.420]  You want to do that?
[02:54:06.220 --> 02:54:07.580]  Just old school mentality.
[02:54:07.580 --> 02:54:09.500]  Sometimes I'm like, Oh, it's sketchy.
[02:54:09.500 --> 02:54:12.460]  And then I have to remember, it's like, well, it's legal and people are cool.
[02:54:12.460 --> 02:54:13.260]  They just want to help.
[02:54:13.900 --> 02:54:18.620]  But then I'm, you know, I just seen so much fucked up shit and people trying to fuck me
[02:54:18.620 --> 02:54:18.940]  over.
[02:54:18.940 --> 02:54:21.980]  And so I'm like, all right, what's their motive behind that?
[02:54:22.060 --> 02:54:22.460]  You know?
[02:54:22.460 --> 02:54:24.460]  So, and it's not just me.
[02:54:24.460 --> 02:54:28.940]  It's like a lot of, a lot of people, um, from the old school are like that.
[02:54:29.580 --> 02:54:33.740]  Um, so it's a, it's a really tricky thing, man.
[02:54:33.740 --> 02:54:37.340]  I got to know somebody for a real, real long time.
[02:54:37.340 --> 02:54:42.220]  And there's gotta be a lot of trust established before, you know, I'm, I'm gonna, you know,
[02:54:42.220 --> 02:54:43.980]  do anything with somebody anyhow.
[02:54:44.540 --> 02:54:49.660]  Um, it's one thing to, you know, do a little collaboration, you know, you send pollen or
[02:54:49.660 --> 02:54:50.780]  you make it whatever.
[02:54:50.780 --> 02:54:57.020]  But, um, to really get in there, um, sharing genetics and, and, and doing a whole program.
[02:54:57.020 --> 02:55:03.340]  It's, you know, it, it, it would be a, it'd be a rare, a rare thing, especially nowadays,
[02:55:03.340 --> 02:55:04.940]  you know, it'd be cool though.
[02:55:04.940 --> 02:55:06.540]  You could get a whole lot done.
[02:55:06.540 --> 02:55:07.580]  Just takes the right people.
[02:55:10.800 --> 02:55:11.200]  Oh yeah.
[02:55:11.200 --> 02:55:11.760]  Well said.
[02:55:11.760 --> 02:55:14.240]  It's hard to find a good solid group, man, anymore.
[02:55:14.240 --> 02:55:18.880]  I mean, you get you one right hand, man, you, you're lucky, you know what I mean?
[02:55:19.680 --> 02:55:20.080]  Oh, yeah.
[02:55:20.080 --> 02:55:20.960]  Those in times.
[02:55:21.600 --> 02:55:22.720]  Absolutely, man.
[02:55:22.720 --> 02:55:23.360]  Absolutely.
[02:55:25.760 --> 02:55:27.680]  Well, I appreciate your time Duke.
[02:55:27.680 --> 02:55:30.800]  I know if there's any other questions out there, get them in quick.
[02:55:31.680 --> 02:55:33.200]  We do like to respect the viewer's time.
[02:55:33.200 --> 02:55:34.640]  We try to keep it at three hours.
[02:55:35.520 --> 02:55:37.200]  But today is a special one for me.
[02:55:37.200 --> 02:55:41.760]  I feel like the community obviously knows why, but I believe in time, the community
[02:55:41.760 --> 02:55:44.160]  will also start to see why this is a special one.
[02:55:44.720 --> 02:55:50.640]  Kind of hearing it from the people that have gone through it the most on both sides of
[02:55:50.640 --> 02:55:51.280]  the spectrum.
[02:55:52.000 --> 02:55:57.040]  And then I guess the takeaway is that you still see it's with humble and grace, how
[02:55:57.040 --> 02:56:02.480]  he's able to carry himself and continue on even though bullshit kicks him in the face,
[02:56:02.480 --> 02:56:02.800]  man.
[02:56:02.800 --> 02:56:05.440]  I admire the way you take it on chin, bro.
[02:56:05.440 --> 02:56:06.160]  Keep it moving.
[02:56:06.960 --> 02:56:07.840]  That's right, dude.
[02:56:08.720 --> 02:56:09.040]  Yeah.
[02:56:09.040 --> 02:56:12.320]  Like I said, you gotta, you gotta be a rock man.
[02:56:12.880 --> 02:56:19.120]  Just stay positive, whatever it is you're doing, you're doing time, make the best out
[02:56:19.120 --> 02:56:19.680]  every day.
[02:56:19.680 --> 02:56:21.440]  You only get one chance at every day.
[02:56:21.440 --> 02:56:25.520]  So yeah, but who's you to make the best of it?
[02:56:25.520 --> 02:56:27.520]  Just try to make something good out of it.
[02:56:27.520 --> 02:56:29.200]  Take something positive away from it.
[02:56:29.760 --> 02:56:33.680]  Learn something from it and just keep moving forward.
[02:56:34.320 --> 02:56:37.200]  And don't let it ruin you.
[02:56:37.200 --> 02:56:39.760]  Don't let it dim your shine.
[02:56:40.320 --> 02:56:44.800]  You just gotta overcome, and that's it.
[02:56:45.760 --> 02:56:49.200]  Let it break you or you can let it make you stronger.
[02:56:49.200 --> 02:56:52.240]  So that's the thing, man.
[02:56:52.240 --> 02:56:56.880]  It's like they're grinding away at me, but it's all they're doing is making me sharper.
[02:56:57.520 --> 02:56:58.720]  So whatever.
[02:56:59.280 --> 02:57:01.360]  If you don't quit, you can't lose, bro.
[02:57:02.000 --> 02:57:02.960]  That's it, man.
