[00:00.000 --> 00:03.600]  C-Tuesdays and T-Thursdays.
[03:12:39.150 --> 03:12:41.470]  because that's my main motivation is
[03:12:41.470 --> 03:12:42.950]  I'd like to do that full time,
[03:12:42.950 --> 03:12:46.630]  just like be around plants, make plant selections,
[03:12:46.630 --> 03:12:48.590]  go through and really catalog, you know,
[03:12:48.590 --> 03:12:50.710]  everything that I've ever been interested in growing
[03:12:50.710 --> 03:12:51.950]  and create new things.
[03:12:53.630 --> 03:12:56.710]  But, you know, at the same time, you know,
[03:12:56.710 --> 03:12:58.670]  I have a farm and I grow weed
[03:12:58.670 --> 03:13:00.790]  and going through the licensing,
[03:13:00.790 --> 03:13:03.790]  obtaining a nursery license has been, you know, complicated.
[03:13:03.790 --> 03:13:06.310]  So we initially intended that we were gonna do it.
[03:13:06.310 --> 03:13:10.190]  And then, you know, it just became too complicated
[03:13:10.190 --> 03:13:13.830]  to allocate, you know, time for all the different licensing.
[03:13:13.830 --> 03:13:16.710]  So, you know, I'm always breeding
[03:13:16.710 --> 03:13:19.430]  and always making the seeds, but not the way that I want,
[03:13:19.430 --> 03:13:21.150]  you know, and it's tough for me
[03:13:21.150 --> 03:13:22.950]  because when this all first started
[03:13:22.950 --> 03:13:25.430]  towards the end of 2015, you know,
[03:13:25.430 --> 03:13:29.030]  I had moved down South and I took a consulting gig
[03:13:29.030 --> 03:13:31.310]  for a pretty big company at the time.
[03:13:31.310 --> 03:13:34.750]  And it was kind of like everything I've ever dreamed of
[03:13:34.750 --> 03:13:37.710]  as a grower in terms of budget, scale.
[03:13:37.710 --> 03:13:41.270]  By down South, you mean Southern California?
[03:13:41.270 --> 03:13:42.790]  You know, mid coast, you know,
[03:13:42.790 --> 03:13:46.310]  so I was in Monterey County for a little while.
[03:13:46.310 --> 03:13:50.310]  And I had this opportunity where if I basically stuck to it
[03:13:51.190 --> 03:13:52.470]  and committed to it real hard,
[03:13:52.470 --> 03:13:55.190]  I would eventually probably have a dream breeding facility.
[03:13:55.950 --> 03:13:57.670]  Like beyond anything that I'd ever dreamed of,
[03:13:57.670 --> 03:14:02.350]  just, you know, but at the same time, you know,
[03:14:02.350 --> 03:14:05.030]  I prefer to live in less populated areas.
[03:14:05.030 --> 03:14:07.670]  And I like being up in the mountains
[03:14:07.670 --> 03:14:08.990]  and away from so many people.
[03:14:08.990 --> 03:14:10.790]  So it just wasn't the right fit.
[03:14:10.790 --> 03:14:14.150]  And so, yeah, so breeding is really important to me.
[03:14:14.150 --> 03:14:17.270]  It's what I like the most about cannabis
[03:14:17.270 --> 03:14:20.110]  and just trying to balance and make the right time for it.
[03:14:20.110 --> 03:14:25.110]  And, you know, yeah, find my right path for it.
[03:14:25.830 --> 03:14:27.030]  But yeah, of course, you know,
[03:14:27.030 --> 03:14:30.150]  so we're always making selections with friends and partners
[03:14:30.150 --> 03:14:33.390]  and, you know, home grows and stuff like that.
[03:14:33.390 --> 03:14:35.830]  So what's cool about this year is I'm reworking
[03:14:35.830 --> 03:14:37.870]  a bunch of lines that I haven't gotten to dig into
[03:14:37.870 --> 03:14:41.550]  for a while and reselecting from some F3s and F4s
[03:14:41.550 --> 03:14:44.870]  and trying to isolate a few things
[03:14:44.870 --> 03:14:46.670]  that I've been trying to bring out
[03:14:46.670 --> 03:14:49.790]  and just having good seed stock to work in.
[03:14:51.030 --> 03:14:52.550]  The thing is, because I'm limited,
[03:14:52.550 --> 03:14:53.790]  what now I'm always looking to do
[03:14:53.790 --> 03:14:56.550]  is find the right partners to do selection runs
[03:14:56.550 --> 03:14:58.990]  and, you know, find devoted licensed growers
[03:14:58.990 --> 03:15:01.830]  who actually wanna go through my plant populations.
[03:15:01.830 --> 03:15:03.190]  And it's cool because, you know,
[03:15:03.190 --> 03:15:05.630]  I see stuff, you know, popping up all over, you know,
[03:15:05.630 --> 03:15:08.990]  there's licensed grows in Florida that have my genetics
[03:15:08.990 --> 03:15:11.470]  and, you know, I see just random stuff popping up,
[03:15:11.470 --> 03:15:13.510]  people doing selection runs.
[03:15:14.950 --> 03:15:17.230]  So, you know, I'm sure Jackson and I could go on
[03:15:17.230 --> 03:15:21.150]  for a while about breeding and bamboo as well.
[03:15:22.150 --> 03:15:24.950]  But yeah, man, it's cool.
[03:15:31.250 --> 03:15:32.410]  Jackson.
[03:15:36.610 --> 03:15:37.850]  Sorry, dude, I was muted.
[03:15:40.410 --> 03:15:42.050]  What are we talking about here?
[03:15:43.290 --> 03:15:44.330]  What's going on?
[03:15:44.330 --> 03:15:45.170]  What's the score?
[03:15:46.810 --> 03:15:48.090]  Seven, three.
[03:15:50.210 --> 03:15:54.330]  It's breeding and kind of, well, Dan, I mean,
[03:15:54.330 --> 03:15:57.890]  what are you exploring?
[03:15:59.130 --> 03:16:00.330]  Genetics?
[03:16:00.330 --> 03:16:01.770]  Yeah, like.
[03:16:01.770 --> 03:16:03.890]  So I'm going through, you know,
[03:16:03.890 --> 03:16:06.170]  there was a few years where I really got to do
[03:16:06.170 --> 03:16:07.130]  some crazy shit.
[03:16:07.130 --> 03:16:08.490]  It was towards the end of 2015.
[03:16:08.490 --> 03:16:11.610]  And first of all, can you define like,
[03:16:11.610 --> 03:16:13.770]  as a reasonable man, like,
[03:16:14.650 --> 03:16:17.090]  what's the minimum size you would need
[03:16:17.090 --> 03:16:20.410]  to like be really happy breeding?
[03:16:20.410 --> 03:16:24.130]  Like an acre, half an acre, an acre, two acres,
[03:16:24.130 --> 03:16:27.570]  four acres, 75 acres.
[03:16:27.570 --> 03:16:29.250]  I wouldn't need anything like that.
[03:16:29.250 --> 03:16:30.770]  You know, I wouldn't need that type of space.
[03:16:30.770 --> 03:16:32.930]  It's more to isolate.
[03:16:32.930 --> 03:16:35.970]  Like really, if you're breeding something
[03:16:35.970 --> 03:16:38.410]  and you're trying to find the best of the selections,
[03:16:38.410 --> 03:16:41.250]  you really wanna be able to grow several thousand plants.
[03:16:41.250 --> 03:16:43.530]  But I mean, you don't need a ton of space
[03:16:43.530 --> 03:16:45.210]  to grow several thousand plants
[03:16:45.210 --> 03:16:48.690]  and really get a good understanding to characterize them,
[03:16:48.690 --> 03:16:52.330]  you know, and see patterns and what's in the genetics.
[03:16:52.330 --> 03:16:54.330]  But really in my scale of breeding,
[03:16:54.330 --> 03:16:58.370]  if I can pop, you know, 50 seeds of something
[03:16:58.370 --> 03:17:00.250]  would be the minimum that I can at least know
[03:17:00.250 --> 03:17:01.770]  I'll get a good selection of something
[03:17:01.770 --> 03:17:02.650]  that I've already worked.
[03:17:02.650 --> 03:17:04.530]  But what I'd like to do is start at least,
[03:17:04.530 --> 03:17:07.730]  you know, 100 or 200 to go through.
[03:17:07.730 --> 03:17:10.250]  And so that's what I do when I do these breeding runs.
[03:17:10.250 --> 03:17:12.010]  Like right now I'll go through, you know,
[03:17:12.010 --> 03:17:15.530]  our golden grams, our old headband, OG sour lines.
[03:17:15.530 --> 03:17:17.290]  You know, shit, I have such a history
[03:17:17.290 --> 03:17:19.770]  with what those lines are based off of
[03:17:19.770 --> 03:17:20.650]  and what's in there.
[03:17:20.650 --> 03:17:23.050]  And so there's so many things that I have like that
[03:17:23.050 --> 03:17:25.370]  where all I wanna do is find the time in life
[03:17:25.370 --> 03:17:27.490]  and the place in life to pop a few hundred of these
[03:17:27.490 --> 03:17:29.250]  and get back to it and reselect it.
[03:17:30.530 --> 03:17:32.810]  So that's what I'm doing is just trying to find the space
[03:17:32.810 --> 03:17:35.410]  to one or two or three projects at a time
[03:17:35.410 --> 03:17:37.130]  and with different friends and partners,
[03:17:37.130 --> 03:17:41.090]  just always be going through old stock, selecting stuff
[03:17:41.090 --> 03:17:43.810]  and really just, you know, on top of all that,
[03:17:43.810 --> 03:17:46.090]  finding the right production plants.
[03:17:46.090 --> 03:17:49.610]  And the last thing I would say in my interest
[03:17:49.610 --> 03:17:52.450]  is I was always kind of a hater on change
[03:17:52.850 --> 03:17:54.890]  just because I liked the way things were.
[03:17:54.890 --> 03:17:57.170]  So I was kind of late to say,
[03:17:57.170 --> 03:18:00.650]  okay, feminized seeds are pretty cool.
[03:18:00.650 --> 03:18:03.250]  Even auto femmes, I'm not a fan of auto femmes,
[03:18:03.250 --> 03:18:04.930]  but I understand the market for them.
[03:18:04.930 --> 03:18:07.450]  But I wanna explore finding the right, you know,
[03:18:07.450 --> 03:18:10.090]  selections for production out of my genetics
[03:18:10.090 --> 03:18:14.490]  and then, you know, get into making the feminized versions
[03:18:14.490 --> 03:18:17.490]  of those and seeing what can actually be consistent
[03:18:17.490 --> 03:18:19.330]  and continue to breed consistent.
[03:18:19.330 --> 03:18:22.170]  So that eventually, you know, I still wanna always make
[03:18:22.850 --> 03:18:24.370]  and offer regular seeds, but I wanna get to the point
[03:18:24.370 --> 03:18:26.410]  where I say, well, this is this variety.
[03:18:26.410 --> 03:18:29.850]  And when you grow this, you know, whatever version,
[03:18:29.850 --> 03:18:32.970]  you know, of the in cross of the selfing generations,
[03:18:32.970 --> 03:18:35.090]  these are the consistent characteristics.
[03:18:35.090 --> 03:18:35.970]  This is what's in it.
[03:18:35.970 --> 03:18:37.290]  There's nothing else in it.
[03:18:37.290 --> 03:18:42.290]  And then just repopulate, you know, from those moms.
[03:18:42.690 --> 03:18:44.690]  So that's a goal to like get to that point
[03:18:44.690 --> 03:18:48.730]  where every variety we have, instead of reselecting,
[03:18:48.730 --> 03:18:51.530]  you know, or even keeping a ton of ton of males around
[03:18:51.890 --> 03:18:55.850]  in the future, we can just repopulate the same moms,
[03:18:55.850 --> 03:18:58.930]  you know, whatever, and know it's consistent.
[03:19:02.820 --> 03:19:05.180]  Jackson, do you support that strategy?
[03:19:06.100 --> 03:19:07.060]  Yeah, man.
[03:19:07.980 --> 03:19:11.340]  And you know, Dan's one of those dudes who does the,
[03:19:12.860 --> 03:19:14.740]  he does cool breeding.
[03:19:14.740 --> 03:19:19.340]  Like his stuff is like really, you know,
[03:19:20.140 --> 03:19:24.300]  you can plant a big garden at his stuff
[03:19:24.300 --> 03:19:29.100]  that you'll get really some monster plants with some good,
[03:19:29.100 --> 03:19:30.780]  you know, most of the stuff is pretty much
[03:19:30.780 --> 03:19:32.980]  on the gas side of the spectrum.
[03:19:32.980 --> 03:19:36.340]  And cause he's into that stuff, all that OG sour stuff.
[03:19:36.340 --> 03:19:41.340]  And super, super bomb, you know, big, reliable plants
[03:19:43.140 --> 03:19:47.020]  they throw down and he breeds big, big, big plants
[03:19:47.060 --> 03:19:49.460]  and big wheat that's really dank, you know?
[03:19:49.460 --> 03:19:52.620]  So his strategies are working, you know?
[03:19:52.620 --> 03:19:55.260]  Yeah, so we're growing some of your stuff this year.
[03:19:56.100 --> 03:19:56.980]  Oh, nice.
[03:19:56.980 --> 03:19:57.900]  What do you got?
[03:19:57.900 --> 03:20:01.220]  We got the Ghost Sky Jaro Popton.
[03:20:01.220 --> 03:20:05.180]  And yep, we've got a couple of those in a hundred gallon pots
[03:20:05.180 --> 03:20:09.340]  and like kind of like our heady tester OG seed plant garden
[03:20:09.340 --> 03:20:11.060]  that we do every year.
[03:20:11.060 --> 03:20:12.060]  Cool.
[03:20:12.060 --> 03:20:13.580]  Yeah, I'll be stoked to see how those stack up
[03:20:13.580 --> 03:20:15.860]  next to the OG sour stuff you got.
[03:20:15.860 --> 03:20:20.860]  In a sense it's OG sour with Hindu and Black Afri thrown.
[03:20:24.220 --> 03:20:25.060]  Nice.
[03:20:25.060 --> 03:20:27.260]  Yeah, I feel like I'm getting to know your turps
[03:20:27.260 --> 03:20:29.860]  just a little bit, you know, and it's cool.
[03:20:29.860 --> 03:20:31.180]  I'm looking forward to kind of blending
[03:20:31.180 --> 03:20:32.380]  some of them together.
[03:20:33.620 --> 03:20:35.620]  Yeah, they should match up good.
[03:20:35.620 --> 03:20:37.700]  I mean, those should be a good one.
[03:20:41.890 --> 03:20:46.890]  Dan, can you talk about like as a commercial cultivator
[03:20:47.450 --> 03:20:51.690]  you can't do stuff in like five pound batches, right?
[03:20:51.690 --> 03:20:53.010]  So like-
[03:20:53.010 --> 03:20:55.850]  You could, I mean, you could do anything you want.
[03:20:55.850 --> 03:20:59.850]  It's just, it's like everything about legal weed
[03:20:59.850 --> 03:21:01.290]  is you're learning as you go
[03:21:01.290 --> 03:21:03.570]  and you're trying not to fuck up too much, right?
[03:21:03.570 --> 03:21:07.450]  And the thing is that everyone, you know, is, I don't know.
[03:21:07.450 --> 03:21:09.050]  There's a lot of amazing people,
[03:21:09.050 --> 03:21:11.570]  but there's a lot of people who are also like,
[03:21:11.570 --> 03:21:13.730]  we'll fuck you over, it's legal weed.
[03:21:13.730 --> 03:21:16.130]  You know, legal weed has been way more shiesty
[03:21:16.130 --> 03:21:18.650]  than illegal weed in my terms,
[03:21:18.650 --> 03:21:22.570]  because in illegal weed, if you had a good reputation,
[03:21:22.570 --> 03:21:24.410]  it's because you're probably a good person.
[03:21:24.410 --> 03:21:27.810]  In legal weed, you know, people don't give a fuck about that.
[03:21:29.490 --> 03:21:33.970]  But what was the question again?
[03:21:33.970 --> 03:21:35.890]  So the question was kind of like,
[03:21:37.170 --> 03:21:42.170]  to do all, if you amortize costs across batches, like-
[03:21:42.370 --> 03:21:44.250]  Oh yeah, small batch.
[03:21:44.250 --> 03:21:46.170]  To do a small batch of something,
[03:21:46.170 --> 03:21:48.530]  I have to pay like testing fees for it
[03:21:48.530 --> 03:21:51.170]  and it's like only like 10 pounds.
[03:21:51.170 --> 03:21:54.570]  Right, yeah, so I mean, it's kind of like this.
