[00:28.410 --> 00:31.650]  How's it going, everybody?
[01:52:35.360 --> 01:52:37.360]  in places like Colorado where they need pollen mitigation
[01:52:38.360 --> 01:52:40.360]  because there's so much pollen it's so dry that there's pollen
[01:52:41.360 --> 01:52:44.360]  flying in and contaminating everyone's cannabis or cannabis
[01:52:45.360 --> 01:52:46.360]  and hemp.
[01:52:47.040 --> 01:52:49.040]  And so triploids where they basically breed so it doesn't
[01:52:50.040 --> 01:52:53.040]  accept pollen just like a seedless watermelon.
[01:52:54.040 --> 01:52:56.040]  You know I think there's a huge potential for that.
[01:52:57.040 --> 01:53:00.040]  And yeah I think I think there's some future in that.
[01:53:01.040 --> 01:53:04.040]  Oregon CBD is already nailed it for him where they think
[01:53:05.040 --> 01:53:06.040]  there was a T.H.
[01:53:07.040 --> 01:53:08.040]  strain also like this I heard it a few years ago.
[01:53:09.040 --> 01:53:10.040]  Yeah.
[01:53:11.040 --> 01:53:12.040]  Yeah I know short worked on some stuff.
[01:53:13.040 --> 01:53:14.040]  Me and him talked about it years ago.
[01:53:14.720 --> 01:53:16.720]  You know I think he was in Cambodia and he was working on
[01:53:17.720 --> 01:53:18.720]  some stuff like that and this was over 15 years ago.
[01:53:19.720 --> 01:53:22.720]  So but they they abandoned it.
[01:53:23.720 --> 01:53:25.720]  A whole new discussion if that's ethical to do.
[01:53:26.720 --> 01:53:27.720]  Right.
[01:53:28.720 --> 01:53:29.720]  Oh yeah.
[01:53:29.720 --> 01:53:30.720]  Everyone's going to say no in the beginning and then it's
[01:53:31.720 --> 01:53:34.180]  going to be fine.
[01:53:35.180 --> 01:53:36.180]  So we'll see.
[01:53:37.180 --> 01:53:38.180]  So yeah.
[01:53:38.180 --> 01:53:39.180]  Wave of the future.
[01:53:40.180 --> 01:53:41.180]  So let's see.
[01:53:42.180 --> 01:53:44.180]  What do you guys how do you guys see the future in 10 years
[01:53:44.860 --> 01:53:45.860]  from now for you guys.
[01:53:46.860 --> 01:53:47.860]  What's what's your future.
[01:53:48.860 --> 01:53:49.860]  How do you envision the future of greenhouse and strain
[01:53:50.860 --> 01:53:51.860]  hunters and everything else.
[01:53:52.860 --> 01:53:53.860]  No.
[01:53:54.860 --> 01:53:55.860]  We hope you'll still be around and doing great.
[01:53:56.860 --> 01:53:57.860]  But it's a crazy world out there.
[01:53:58.860 --> 01:53:59.860]  No.
[01:53:59.860 --> 01:54:00.860]  Yeah.
[01:54:01.860 --> 01:54:02.860]  We have to see how this all goes.
[01:54:03.860 --> 01:54:04.860]  And in Europe we're not as far as advanced as you guys in
[01:54:05.860 --> 01:54:06.860]  Canada and America.
[01:54:07.860 --> 01:54:10.860]  You know it's all we're still very much under the radar
[01:54:11.860 --> 01:54:12.860]  and fighting systems.
[01:54:13.540 --> 01:54:14.540]  And arguing with politicians.
[01:54:15.540 --> 01:54:16.540]  And you know so it's difficult.
[01:54:18.540 --> 01:54:19.540]  Yeah.
[01:54:19.540 --> 01:54:20.540]  I hope that changes.
[01:54:21.540 --> 01:54:22.540]  I mean I I feel like it's going to change eventually.
[01:54:23.540 --> 01:54:24.540]  It has to change.
[01:54:25.540 --> 01:54:26.540]  You know we have this we have this momentum building
[01:54:27.540 --> 01:54:28.540]  especially with the United States.
[01:54:29.540 --> 01:54:30.540]  Once it goes recreational across the border of the United
[01:54:31.540 --> 01:54:32.540]  States I think Europe will soon follow.
[01:54:33.540 --> 01:54:34.540]  Spain is definitely going to follow suit.
[01:54:35.540 --> 01:54:36.540]  I mean the tax money hopefully I would assume that Spain
[01:54:37.540 --> 01:54:38.540]  would follow through anyway.
[01:54:39.540 --> 01:54:40.540]  I don't know if they will be the first.
[01:54:41.540 --> 01:54:42.540]  I don't know.
[01:54:43.220 --> 01:54:44.220]  I know France has been doing a public questionnaire
[01:54:45.220 --> 01:54:46.220]  recently on the National Assembly.
[01:54:47.220 --> 01:54:48.220]  They're starting to ask people if they want to legalize
[01:54:49.220 --> 01:54:50.220]  for recreational.
[01:54:51.220 --> 01:54:52.220]  Let's see.
[01:54:53.220 --> 01:54:54.220]  I don't know.
[01:54:55.220 --> 01:54:56.220]  They're on the way for medicinal.
[01:54:57.220 --> 01:54:58.220]  I think we are kind of like California was you know
[01:54:59.220 --> 01:55:00.220]  in the end of the 90s where they were kind of medicinal
[01:55:01.220 --> 01:55:02.220]  and starting to try stuff.
[01:55:03.220 --> 01:55:04.220]  And we're just missing another 10 15 years to be like
[01:55:05.220 --> 01:55:06.220]  like you are now which is the time that it took more
[01:55:07.220 --> 01:55:08.220]  or less to America.
[01:55:09.220 --> 01:55:10.220]  You know we're just missing a lot of time.
[01:55:10.900 --> 01:55:11.900]  It's the time that it took more or less to America.
[01:55:12.900 --> 01:55:13.900]  You know that's the knowledge that it's not that bad
[01:55:14.900 --> 01:55:15.900]  in most of the countries.
[01:55:16.900 --> 01:55:17.900]  They just don't know how to introduce it for the moment.
[01:55:18.900 --> 01:55:19.900]  And when that happens that would be good.
[01:55:20.900 --> 01:55:21.900]  But hopefully in 10 years we're going to have more
[01:55:22.900 --> 01:55:23.900]  shops everywhere.
[01:55:24.900 --> 01:55:25.900]  You know I hope they can keep legalizing especially
[01:55:26.900 --> 01:55:27.900]  in Europe in Asia.
[01:55:28.900 --> 01:55:29.900]  You know I would love to work in Asia also like going
[01:55:30.900 --> 01:55:31.900]  to Thailand and all this.
[01:55:32.900 --> 01:55:33.900]  That would be great.
[01:55:34.900 --> 01:55:35.900]  So let's keep the keep going.
[01:55:36.900 --> 01:55:37.900]  And may we all have our own business.
[01:55:38.580 --> 01:55:39.580]  And may we all have our own bobblehead in 10 years.
[01:55:40.580 --> 01:55:41.580]  I think that's funny that guy.
[01:55:42.580 --> 01:55:43.580]  I still have mine in the living room.
[01:55:44.580 --> 01:55:45.580]  You know I always touch it when I pass next to it.
[01:55:46.580 --> 01:55:47.580]  I say hello.
[01:55:48.580 --> 01:55:49.580]  I don't know if my friend or sleeps with it.
[01:55:50.580 --> 01:55:51.580]  How many people you have on your show.
[01:55:52.580 --> 01:55:53.580]  Between how many we got right now.
[01:55:54.580 --> 01:55:55.580]  Right now it's probably between 750 and 800 people
[01:55:56.580 --> 01:55:57.580]  watching.
[01:55:58.580 --> 01:55:59.580]  Oh that's a lot.
[01:56:00.580 --> 01:56:01.580]  I mean I think it's probably between 700 and 800 people
[01:56:02.580 --> 01:56:03.580]  watching.
[01:56:04.580 --> 01:56:05.580]  I think it's probably between 700 and 800 people watching.
[01:56:06.260 --> 01:56:07.260]  Oh nice.
[01:56:08.260 --> 01:56:09.260]  People for all coming online was great seeing everybody
[01:56:10.260 --> 01:56:11.260]  in California and wherever you guys are from.
[01:56:12.260 --> 01:56:13.260]  Was nice.
[01:56:14.260 --> 01:56:15.260]  We got Spain South Africa.
[01:56:16.260 --> 01:56:17.260]  Yeah it's global.
[01:56:18.260 --> 01:56:19.260]  Great.
[01:56:20.260 --> 01:56:21.260]  That's nice.
[01:56:22.260 --> 01:56:23.260]  Unified economies were up.
[01:56:24.260 --> 01:56:25.260]  Yeah.
[01:56:27.260 --> 01:56:28.260]  Yeah.
[01:56:29.260 --> 01:56:30.260]  We'll be selling knockoff bobbleheads here in the near
[01:56:31.260 --> 01:56:32.260]  future.
[01:56:33.260 --> 01:56:34.260]  I need to come back to that.
[01:56:34.940 --> 01:56:35.940]  I need to come with a new one with a straight hunter one.
[01:56:36.940 --> 01:56:37.940]  Yeah.
[01:56:38.940 --> 01:56:39.940]  Yeah.
[01:56:40.940 --> 01:56:41.940]  You really need to do another line of these.
[01:56:44.600 --> 01:56:45.600]  I want a bobblehead.
[01:56:46.600 --> 01:56:47.600]  My daughters would play with it.
[01:56:48.600 --> 01:56:49.600]  By the way for everyone in the chat.
[01:56:50.600 --> 01:56:51.600]  My wife made me give my two year old a suppository at.
[01:56:52.600 --> 01:56:53.600]  I think we started at 11.
[01:56:54.600 --> 01:56:55.600]  That was at 1045.
[01:56:56.600 --> 01:56:57.600]  And her general discomfort with that actually.
[01:56:58.600 --> 01:56:59.600]  I think it was a little bit of a shock.
[01:57:00.600 --> 01:57:01.600]  I think it was a little bit of a shock.
[01:57:02.600 --> 01:57:03.600]  I think it was a little bit of a shock.
[01:57:04.280 --> 01:57:05.280]  Her general discomfort with that activity was similar to me
[01:57:06.280 --> 01:57:07.280]  reading the chat for the past two hours.
[01:57:08.280 --> 01:57:09.280]  So I have been noticing.
[01:57:10.280 --> 01:57:11.280]  But James you want to talk about what we just threw up on
[01:57:12.280 --> 01:57:13.280]  the website.
[01:57:14.280 --> 01:57:15.280]  Oh yeah.
[01:57:16.280 --> 01:57:17.280]  So we got some gelato autos for sale.
[01:57:18.280 --> 01:57:19.280]  There's a limited supply of them.
[01:57:20.280 --> 01:57:21.280]  They're going to you know they're going to be a little bit
[01:57:22.280 --> 01:57:23.280]  more expensive.
[01:57:24.280 --> 01:57:25.280]  So we're going to be selling them.
[01:57:26.280 --> 01:57:27.280]  And we're going to be selling them.
[01:57:28.280 --> 01:57:29.280]  And we're going to be selling them.
[01:57:30.280 --> 01:57:31.280]  And we're going to be selling them.
[01:57:31.960 --> 01:57:32.960]  And there's a limited supply of them.
[01:57:33.960 --> 01:57:34.960]  They're going to you know we got a lot of autos.
[01:57:35.960 --> 01:57:36.960]  This is how we preserve seeds here.
[01:57:37.960 --> 01:57:38.960]  Desiccants.
[01:57:39.960 --> 01:57:40.960]  These are fresh seeds.
[01:57:41.960 --> 01:57:42.960]  So these were harvested about a week ago.
[01:57:43.960 --> 01:57:44.960]  We got a limited supply of these gelato autos.
[01:57:45.960 --> 01:57:46.960]  There's you're getting.
[01:57:47.960 --> 01:57:48.960]  So as far as genotypes you'll have purple genotypes and you'll
[01:57:49.960 --> 01:57:52.960]  have green and we haven't got it to all express purple.
[01:57:53.960 --> 01:57:54.960]  But that's coming in the near future.
[01:57:55.960 --> 01:57:56.960]  Hopefully by next year we'll have all purple gelatos.
[01:57:57.960 --> 01:57:58.960]  I feel like they have a lot of good nose on them.
[01:57:59.960 --> 01:58:00.960]  They have good texture.
[01:58:01.960 --> 01:58:02.960]  They're going to make people happy.
[01:58:03.960 --> 01:58:04.960]  But again there's a limited amount.
[01:58:05.960 --> 01:58:06.960]  So get them while you can.
[01:58:07.960 --> 01:58:08.960]  And yeah it's a Valentine's Day special.
[01:58:09.960 --> 01:58:11.960]  So we're selling them for five seeds for $50.
[01:58:12.960 --> 01:58:13.960]  So yeah I appreciate it.
[01:58:14.960 --> 01:58:16.960]  And what else was I going to talk about.
[01:58:17.960 --> 01:58:18.960]  Oh yeah we have some other show and tell stuff.
[01:58:19.960 --> 01:58:20.960]  Hitman hitman bag.
[01:58:21.960 --> 01:58:22.960]  I don't know if you guys remember Dougie from Hitman.
[01:58:23.960 --> 01:58:27.960]  You can go to I believe his website is take a hitman.
[01:58:28.960 --> 01:58:30.960]  And he's got all kinds of cool bags and what not.
[01:58:31.960 --> 01:58:32.960]  And wallets.
[01:58:33.960 --> 01:58:34.960]  So yeah go check him out.
[01:58:35.960 --> 01:58:36.960]  You know I don't do any paid sponsorship for my show.
[01:58:37.960 --> 01:58:38.960]  So it's only my friends products that I support.
[01:58:39.960 --> 01:58:40.960]  Same thing go check out greenhouse seeds.
[01:58:41.960 --> 01:58:42.960]  You guys are looking for some good seeds.
[01:58:43.960 --> 01:58:44.960]  You guys still sell super silver haze.
[01:58:45.960 --> 01:58:46.960]  Yes.
[01:58:47.960 --> 01:58:48.960]  Nice.
[01:58:49.960 --> 01:58:50.960]  It's a good one.
[01:58:51.960 --> 01:58:52.960]  Yeah.
[01:58:53.960 --> 01:58:56.960]  Just quickly a while ago someone asked about why no seed banks
[01:58:57.960 --> 01:58:58.960]  sell to the UK.
[01:58:59.640 --> 01:59:00.640]  Is that something.
[01:59:01.640 --> 01:59:04.640]  And is that an issue getting you into the UK.
[01:59:05.640 --> 01:59:06.640]  No no we sell into the UK.
[01:59:07.640 --> 01:59:08.640]  OK.
[01:59:09.640 --> 01:59:10.640]  Yeah.
[01:59:10.640 --> 01:59:11.640]  No problem.
[01:59:12.640 --> 01:59:13.640]  Greenhouse seed sells into the UK.
[01:59:14.640 --> 01:59:15.640]  We have maybe not in the US.
[01:59:16.640 --> 01:59:19.640]  And people can order you know if the retail we order.
[01:59:20.640 --> 01:59:22.640]  The sales are booming on the retail side from us.
[01:59:23.640 --> 01:59:24.640]  So yeah they can.
[01:59:25.640 --> 01:59:26.640]  UK is not not not an issue.
[01:59:27.320 --> 01:59:28.320]  They can just.
[01:59:29.320 --> 01:59:30.320]  I learned.
[01:59:31.320 --> 01:59:32.320]  They can just.
[01:59:33.320 --> 01:59:34.320]  Order retail and we send it.
[01:59:35.320 --> 01:59:36.320]  Yeah.
[01:59:36.320 --> 01:59:37.320]  Dougie is a Boston boy.
[01:59:38.320 --> 01:59:39.320]  Sorry I'm looking at the chat.
[01:59:40.320 --> 01:59:41.320]  Hmm.
[01:59:42.320 --> 01:59:43.320]  Yeah.
[01:59:43.320 --> 01:59:44.320]  Maybe there's issues for companies sending from the US to the UK.
[01:59:45.320 --> 01:59:46.320]  I can see that being a problem.
[01:59:47.320 --> 01:59:48.320]  But.
[01:59:49.320 --> 01:59:50.320]  Yeah.
[01:59:50.320 --> 01:59:51.320]  I really appreciate you guys coming on the show man.
[01:59:52.320 --> 01:59:53.320]  It's been good.
[01:59:54.320 --> 01:59:55.320]  Thanks for having us.
[01:59:56.000 --> 01:59:57.000]  And I want to say bye bye to everybody.
[01:59:58.000 --> 01:59:59.000]  Thank you for all being here.
[02:00:00.000 --> 02:00:02.000]  And hope to see you some other podcasts in the near future.
[02:00:03.000 --> 02:00:04.000]  Thank you.
[02:00:05.000 --> 02:00:06.000]  And just some housekeeping.
[02:00:07.000 --> 02:00:10.000]  Tomorrow morning we have Tad Hussey.
[02:00:11.000 --> 02:00:18.000]  David Bernard Perrone who I guess is the has the largest organic facility in Canada.
[02:00:19.000 --> 02:00:22.000]  And Nelson Lindsley that I believe is at 9 a.m.
[02:00:23.000 --> 02:00:24.000]  And.
[02:00:24.680 --> 02:00:25.680]  To everyone a happy Valentine's Day.
[02:00:26.680 --> 02:00:29.680]  My wife lovingly brought me a an Italian grinder which I crushed.
[02:00:30.680 --> 02:00:35.680]  I kept trying to cut to you guys as like close up so I could like eat it really fast.
[02:00:36.680 --> 02:00:39.680]  It was delicious if anyone was wondering.
[02:00:40.680 --> 02:00:42.680]  But happy Valentine's Day everyone.
[02:00:43.680 --> 02:00:44.680]  And we'll see you next week.
[02:00:45.680 --> 02:00:46.680]  Happy Valentine's Day.
[02:00:47.680 --> 02:00:48.680]  Take care guys.
[02:00:49.680 --> 02:00:50.680]  Thank you very much.
[02:00:51.360 --> 02:00:52.360]  Have a great day.
[02:00:53.360 --> 02:00:54.360]  See you soon.
