[00:00.000 --> 00:03.040]  with this phytocannabinoid diet.
[05:38:31.580 --> 05:38:34.700]  Check people out that have really studied autophagy
[05:38:34.700 --> 05:38:36.860]  that are using intermittent fasting.
[05:38:36.860 --> 05:38:39.380]  This is, again, everything that we talk about
[05:38:39.380 --> 05:38:41.060]  with living soil on Thursdays,
[05:38:41.060 --> 05:38:45.340]  none of that stuff is my research, our research at all.
[05:38:45.340 --> 05:38:46.460]  Again, this is another thing
[05:38:46.460 --> 05:38:47.740]  that I wanna give to the community
[05:38:47.740 --> 05:38:49.780]  is the fact that autophagy works,
[05:38:49.780 --> 05:38:51.780]  and there's nothing, no magic thing
[05:38:51.780 --> 05:38:53.300]  you need to go out and purchase.
[05:38:53.300 --> 05:38:56.180]  You literally just have to stop feeding your face
[05:38:56.180 --> 05:38:58.300]  and start to get a little bit disciplined.
[05:38:58.300 --> 05:39:00.520]  And once you're disciplined, I assure you,
[05:39:00.520 --> 05:39:02.500]  a lot of that stuff, a lot of those issues
[05:39:02.500 --> 05:39:04.620]  that you're dealing with on a day-to-day basis
[05:39:04.620 --> 05:39:07.980]  is going to minimize or just be reduced.
[05:39:07.980 --> 05:39:10.580]  That yeast that you guys have that's a beast at night
[05:39:10.580 --> 05:39:12.780]  that makes you wanna eat candy all the time,
[05:39:12.780 --> 05:39:15.580]  that is going to be diminished as well.
[05:39:15.580 --> 05:39:17.020]  The cravings go away too.
[05:39:17.020 --> 05:39:18.340]  Cravings, yeah.
[05:39:18.340 --> 05:39:20.820]  It's a wonderful thing to go by the aisle,
[05:39:20.820 --> 05:39:23.000]  and one of my sons wants candy,
[05:39:23.000 --> 05:39:25.700]  and I don't wanna grab the peanut butter M&Ms,
[05:39:25.700 --> 05:39:28.180]  because that used to be my fucking kryptonite.
[05:39:29.020 --> 05:39:30.420]  If I was shopping stone,
[05:39:30.420 --> 05:39:33.180]  those were definitely in the back in the shopping cart.
[05:39:34.060 --> 05:39:35.740]  So you guys said, this is a busy man here.
[05:39:35.740 --> 05:39:36.940]  I don't wanna take up too much time,
[05:39:36.940 --> 05:39:40.500]  but yes, using these kinds of products,
[05:39:40.500 --> 05:39:43.820]  taking the time, drinking water, mountain water,
[05:39:43.820 --> 05:39:44.660]  going out of your way.
[05:39:44.660 --> 05:39:48.540]  I like El Dorado water here in Colorado.
[05:39:48.540 --> 05:39:50.420]  Just those little things, those little,
[05:39:50.420 --> 05:39:51.700]  we've been basically talking about,
[05:39:51.700 --> 05:39:53.100]  all those little things add up,
[05:39:53.100 --> 05:39:55.300]  and when it comes to health, again,
[05:39:55.300 --> 05:39:59.180]  just stop eating, and things are going to change.
[05:39:59.180 --> 05:40:00.020]  Stop snacking.
[05:40:00.020 --> 05:40:00.900]  Same thing with the CBD, right?
[05:40:00.900 --> 05:40:03.580]  You just can't take CBD and it cures everything.
[05:40:03.580 --> 05:40:05.460]  You have to do exactly what you're talking about.
[05:40:05.460 --> 05:40:08.380]  You gotta eat clean, you gotta do your exercises
[05:40:08.380 --> 05:40:10.580]  and stretches and things like that.
[05:40:10.580 --> 05:40:11.420]  Absolutely.
[05:40:11.420 --> 05:40:12.580]  And go outside.
[05:40:12.580 --> 05:40:15.620]  Vitamin D is extremely important for gut health.
[05:40:15.620 --> 05:40:16.900]  So a lot of you, they're talking about
[05:40:16.900 --> 05:40:18.780]  you have depression and all this kind of,
[05:40:18.780 --> 05:40:20.980]  go outside, I assure you.
[05:40:20.980 --> 05:40:22.140]  Things will change for you.
[05:40:22.140 --> 05:40:23.220]  Stop being fat.
[05:40:23.220 --> 05:40:24.660]  Did I miss the dab?
[05:40:26.300 --> 05:40:29.140]  It was like a magical dab for me too.
[05:40:29.140 --> 05:40:30.060]  Oh, I did one.
[05:40:31.660 --> 05:40:32.500]  I got so beat up.
[05:40:32.500 --> 05:40:34.140]  I'm that good at my job, Peter.
[05:40:37.220 --> 05:40:40.260]  All right, well, we thank you for joining us
[05:40:40.260 --> 05:40:41.620]  and stopping by.
[05:40:42.580 --> 05:40:43.420]  Yeah, thank you, sir.
[05:40:43.420 --> 05:40:44.580]  I appreciate the time.
[05:40:44.580 --> 05:40:45.420]  Yeah, absolutely.
[05:40:45.420 --> 05:40:47.140]  We'll run by your booth tomorrow as well.
[05:40:47.140 --> 05:40:48.780]  Thanks, yeah, come check that out.
[05:40:48.780 --> 05:40:50.620]  I think when you see the pictures
[05:40:50.620 --> 05:40:52.780]  of what we just were talking about,
[05:40:53.300 --> 05:40:55.180]  it really cements it into you.
[05:40:55.180 --> 05:40:56.020]  Oh, yeah.
[05:40:56.020 --> 05:40:56.860]  All right, peace.
[05:40:56.860 --> 05:40:59.100]  Nice to meet you, sir.
[05:40:59.100 --> 05:41:01.340]  All right, Peter, so most of those people
[05:41:01.340 --> 05:41:02.740]  have packed up up there.
[05:41:02.740 --> 05:41:04.340]  Yeah, we're good.
[05:41:04.340 --> 05:41:07.860]  I think five hours and 40 minutes in, we're-
[05:41:07.860 --> 05:41:08.820]  Stay long.
[05:41:08.820 --> 05:41:09.660]  Yeah, buddy.
[05:41:09.660 --> 05:41:10.500]  Thank you, sir.
[05:41:10.500 --> 05:41:11.700]  We can call it a night.
[05:41:11.700 --> 05:41:13.060]  You're a warrior, man.
[05:41:13.060 --> 05:41:13.900]  Absolutely.
[05:41:14.980 --> 05:41:16.860]  So welcome to my world.
[05:41:16.860 --> 05:41:20.900]  This is your taste of conference production.
[05:41:21.900 --> 05:41:25.900]  Yeah, and I will tell you that I feel that,
[05:41:25.900 --> 05:41:29.500]  you know, they're kind of the bottom of the barrel
[05:41:29.500 --> 05:41:30.620]  because you didn't sponsor.
[05:41:30.620 --> 05:41:31.460]  They don't give a fuck.
[05:41:31.460 --> 05:41:32.660]  They don't answer the question.
[05:41:32.660 --> 05:41:35.180]  But for the most part, though,
[05:41:35.180 --> 05:41:36.020]  everyone on the second floor-
[05:41:36.020 --> 05:41:36.860]  I was gonna ask that.
[05:41:36.860 --> 05:41:37.700]  I was gonna be like,
[05:41:37.700 --> 05:41:39.500]  so do you wanna sponsor this show?
[05:41:41.500 --> 05:41:42.900]  We're working on that, Peter.
[05:41:42.900 --> 05:41:44.460]  Believe me.
[05:41:44.460 --> 05:41:45.540]  There's just a lot of people.
[05:41:45.540 --> 05:41:48.140]  And we were talking to some of my marketing friends
[05:41:48.140 --> 05:41:49.220]  in California.
[05:41:49.420 --> 05:41:51.420]  That's why we've been putting up the views and all that
[05:41:51.420 --> 05:41:54.060]  is because they say that the one million view mark
[05:41:54.060 --> 05:41:56.860]  is where if we sold t-shirts-
[05:41:56.860 --> 05:41:58.740]  He's like, nah, I did that.
[05:42:00.060 --> 05:42:02.740]  To me, it's just throw it in front of a bunch of people
[05:42:02.740 --> 05:42:04.860]  and someone says yes.
[05:42:04.860 --> 05:42:08.100]  No, I'm just saying what she said about any marketing.
[05:42:08.100 --> 05:42:10.300]  So that's why I was saying our goal
[05:42:10.300 --> 05:42:12.220]  is to just continue what we're doing.
[05:42:12.220 --> 05:42:14.420]  And I think things will work out.
[05:42:16.460 --> 05:42:18.100]  I'm trying to build a Super Bowl team
[05:42:18.100 --> 05:42:19.940]  and not everyone can be on the team.
[05:42:23.430 --> 05:42:24.270]  Facts.
[05:42:26.230 --> 05:42:28.390]  All right, can you guys hear the music?
[05:42:28.390 --> 05:42:29.870]  Yep.
[05:42:29.870 --> 05:42:32.310]  Hey, is that a lion head bunny on your computer?
[05:42:35.710 --> 05:42:38.230]  Well, that'd be a question for Gemma.
[05:42:39.670 --> 05:42:41.310]  That is her Easter bunny.
[05:42:46.510 --> 05:42:49.350]  Gemma was prolific with the drawing this past week.
[05:42:49.470 --> 05:42:55.380]  So we got Easter bunnies and all sorts of stuff.
[05:42:58.380 --> 05:43:01.300]  Yes, we've really been talking for five hours.
[05:43:01.300 --> 05:43:02.140]  Almost six.
[05:43:03.140 --> 05:43:07.140]  John, the founder of Front Range
[05:43:09.900 --> 05:43:11.940]  is down to do something tomorrow.
[05:43:13.140 --> 05:43:14.860]  Okay, let me ask you this real quick
[05:43:14.860 --> 05:43:16.100]  and I'll ask the viewers.
[05:43:16.100 --> 05:43:18.860]  Do you guys want us to continue with doing the interviews
[05:43:18.900 --> 05:43:21.460]  or there is some interesting speakers tomorrow
[05:43:21.460 --> 05:43:23.660]  in that fancy room I was telling you about?
[05:43:25.660 --> 05:43:27.460]  I mean, maybe we could do like a session,
[05:43:27.460 --> 05:43:30.420]  but I would say if we could get,
[05:43:30.420 --> 05:43:32.900]  instead of the little shotgun,
[05:43:32.900 --> 05:43:37.700]  an audio cable to that same adapter and test it.
[05:43:37.700 --> 05:43:40.660]  And if it gives us a clean audio signal,
[05:43:41.700 --> 05:43:42.540]  we could do a set.
[05:43:42.540 --> 05:43:43.580]  I mean, but this stuff's fun.
[05:43:43.580 --> 05:43:45.940]  I mean, I feel like I'll play music
[05:43:45.980 --> 05:43:47.980]  in between interviews.
[05:43:49.060 --> 05:43:50.500]  All right, maybe we'll just keep it like this
[05:43:50.500 --> 05:43:52.940]  because there are a lot more people to interview,
[05:43:52.940 --> 05:43:55.460]  especially now that I know there's a third floor.
[05:43:57.180 --> 05:43:59.220]  You're just discovering that.
[05:43:59.220 --> 05:44:00.060]  No one knew.
[05:44:00.060 --> 05:44:00.900]  That's why everyone's,
[05:44:00.900 --> 05:44:03.540]  if you go up right now, people are pissed.
[05:44:03.540 --> 05:44:05.420]  Nobody told anyone.
[05:44:05.420 --> 05:44:07.300]  The people on the third floor are pissed
[05:44:07.300 --> 05:44:09.060]  because they paid attention.
[05:44:09.060 --> 05:44:10.980]  Everybody's been on the second floor.
[05:44:11.940 --> 05:44:12.820]  I had to move twice.
[05:44:12.820 --> 05:44:14.060]  Nobody's even down here.
[05:44:16.460 --> 05:44:20.420]  You guys got a very spacious room to yourselves.
[05:44:21.940 --> 05:44:24.380]  Well, maybe we can take up one of those people
[05:44:24.380 --> 05:44:26.700]  that want us to put up there by the roof.
[05:44:26.700 --> 05:44:27.820]  That'd be kind of cool.
[05:44:27.820 --> 05:44:30.260]  You can move the dad door up to the third floor.
[05:44:30.260 --> 05:44:32.220]  Well, if there's no ethernet,
[05:44:32.220 --> 05:44:34.980]  then our video is gonna look like poo-poo sauce.
[05:44:35.900 --> 05:44:37.380]  If it's just on wifi here.
[05:44:37.380 --> 05:44:39.220]  Well, which it did all day.
[05:44:39.220 --> 05:44:43.020]  Actually, now you guys, we went from 8-bit to HD.
[05:44:43.020 --> 05:44:45.100]  Well, that's because everybody left already.
[05:44:45.140 --> 05:44:46.580]  I know, but look at that.
[05:44:46.580 --> 05:44:48.940]  That is clean.
[05:44:48.940 --> 05:44:49.860]  Look at that wall.
[05:44:51.060 --> 05:44:51.940]  Beautiful place.
[05:44:51.940 --> 05:44:55.140]  Next time we need future cannabis project right here, Peter.
[05:44:55.140 --> 05:44:57.740]  I kind of like the brick wall.
[05:44:57.740 --> 05:44:58.580]  Yeah.
[05:44:58.580 --> 05:45:00.540]  The concrete brick wall.
[05:45:00.540 --> 05:45:01.420]  It's a good look.
[05:45:03.460 --> 05:45:05.460]  We're no frills.
[05:45:07.980 --> 05:45:11.820]  People are digging the dab bar.
[05:45:11.820 --> 05:45:13.620]  I'm glad you guys can see it.
[05:45:13.620 --> 05:45:15.540]  We're trying to make it where you guys,
[05:45:15.540 --> 05:45:19.260]  we have all the sponsors down here too on these little TVs,
[05:45:19.260 --> 05:45:21.140]  but for what?
[05:45:21.140 --> 05:45:22.260]  Production sake.
[05:45:22.260 --> 05:45:23.940]  It looks better when it's closer.
[05:45:25.060 --> 05:45:27.260]  We got a lot of, actually, you could probably lower it
[05:45:27.260 --> 05:45:31.420]  because we got a lot of concrete headspace above you guys.
[05:45:32.300 --> 05:45:33.620]  We're on that table, though.
[05:45:33.620 --> 05:45:34.700]  I don't know what we can do.
[05:45:34.700 --> 05:45:35.540]  Maybe.
[05:45:35.540 --> 05:45:36.380]  Let's see, let's see.
[05:45:42.390 --> 05:45:43.510]  Up a tiny bit.
[05:45:46.110 --> 05:45:51.830]  Set up a little bit.
[05:45:53.790 --> 05:45:56.700]  Yep.
[05:45:56.700 --> 05:45:57.700]  Right there, he said.
[05:45:58.940 --> 05:46:00.660]  All right, that's how you want it for tomorrow?
[05:46:00.660 --> 05:46:02.060]  Well, basically with that-
[05:46:02.060 --> 05:46:04.060]  And I'm saying, how does it feel to want?
[05:46:05.620 --> 05:46:10.060]  I would move the TV with a camera.
[05:46:10.060 --> 05:46:11.060]  Well, he can't hear.
[05:46:11.060 --> 05:46:15.420]  I'd move the whole TV with a camera back like two feet
[05:46:15.420 --> 05:46:20.420]  and you'll get you guys with the screens below
[05:46:21.260 --> 05:46:22.460]  in frame.
[05:46:25.380 --> 05:46:26.340]  Like you're close.
[05:46:26.340 --> 05:46:30.020]  Like I can see the top half of those screens.
[05:46:30.940 --> 05:46:32.780]  Because I have the camera on top of the TV,
[05:46:32.780 --> 05:46:34.300]  not on a tripod.
[05:46:34.300 --> 05:46:35.380]  No, no, no, I get that.
[05:46:35.380 --> 05:46:37.860]  So can you move that whole setup back to me?
[05:46:37.860 --> 05:46:39.660]  He's saying just move the table back.
[05:46:39.660 --> 05:46:42.300]  Oh yeah, we're going to look smaller then.
[05:46:42.300 --> 05:46:44.340]  That's it, no, no, well, but you'll-
[05:46:45.740 --> 05:46:47.180]  You'll just try it.
[05:46:47.180 --> 05:46:48.020]  You're going to try it?
[05:46:48.020 --> 05:46:49.180]  All right, let's try it real quick
[05:46:49.180 --> 05:46:50.020]  so it's all set up for tomorrow.
[05:46:50.620 --> 05:46:51.460]  Stay here.
[05:46:52.420 --> 05:46:53.260]  Watch how small you get.
[05:46:53.260 --> 05:46:55.820]  We have a hundred friends to tell us how it looks.
[05:46:58.780 --> 05:47:00.340]  We appreciate you guys.
[05:47:00.340 --> 05:47:01.700]  We're doing this for you guys
[05:47:01.700 --> 05:47:06.700]  so you guys can see that at least live events are back.
[05:47:07.180 --> 05:47:08.620]  No budget production.
[05:47:10.060 --> 05:47:11.860]  I don't know about no budget.
[05:47:11.860 --> 05:47:14.500]  All right, so now, all right, that's good, that's good.
[05:47:14.500 --> 05:47:19.500]  So now tilt down till you're about six inches above his head.
[05:47:19.620 --> 05:47:22.220]  Tilt down till you're six inches above my head.
[05:47:25.640 --> 05:47:28.480]  And obviously if you get like minute bowl as a guest,
[05:47:28.480 --> 05:47:32.500]  then that's too-
[05:47:32.500 --> 05:47:33.500]  Tiny bit up.
[05:47:37.590 --> 05:47:38.430]  Yeah.
[05:47:40.470 --> 05:47:41.470]  Okay.
[05:47:41.470 --> 05:47:43.030]  All right, we're getting there.
[05:47:44.870 --> 05:47:46.110]  Is that good?
[05:47:46.110 --> 05:47:47.870]  That's close, we're getting close.
[05:47:49.470 --> 05:47:51.430]  What do we need, back it up a little bit more?
[05:47:51.430 --> 05:47:52.710]  We can tweak it tomorrow,
[05:47:52.750 --> 05:47:55.430]  but I mean, now we have both the view and frame
[05:47:55.430 --> 05:47:58.430]  and although that's Boku,
[05:48:02.320 --> 05:48:06.320]  super food, super living, botanical.
[05:48:08.480 --> 05:48:10.440]  That Boku place on the third floor.
[05:48:13.440 --> 05:48:14.280]  That's homie.
[05:48:16.400 --> 05:48:19.880]  So is this just cycling through like the brands
[05:48:19.880 --> 05:48:21.480]  that are at the event?
[05:48:21.480 --> 05:48:23.400]  Yep, the sponsors.
[05:48:24.320 --> 05:48:26.360]  Yeah, anyone from Patagonia there?
[05:48:27.600 --> 05:48:28.720]  Yeah, but I couldn't find them.
[05:48:28.720 --> 05:48:30.520]  I couldn't find Pure Pressure.
[05:48:30.520 --> 05:48:32.600]  I don't know where some of those bigger brands are.
[05:48:32.600 --> 05:48:34.280]  Yeah, Pure, we could talk Hash
[05:48:34.280 --> 05:48:36.800]  and then with Patagonia, just kind of general
[05:48:36.800 --> 05:48:39.400]  like what they're doing with-
[05:48:41.960 --> 05:48:44.600]  Yeah, although, I mean, we interviewed a lot of people
[05:48:44.600 --> 05:48:47.560]  so I'll have time to find more of those people tonight.
[05:48:47.560 --> 05:48:49.280]  We're gonna go to after party too
