[00:00.000 --> 00:05.760]  Make the connection.
[03:37:22.250 --> 03:37:24.250]  push out on all the channels and really get
[03:37:24.250 --> 03:37:26.250]  people aware that this is a
[03:37:26.250 --> 03:37:28.250]  silly conversation, it's sativa vs
[03:37:28.250 --> 03:37:30.250]  indica, it's not exactly
[03:37:30.250 --> 03:37:32.250]  the right info
[03:37:32.250 --> 03:37:34.250]  that's right
[03:37:34.470 --> 03:37:36.470]  the sativa vs indica thing
[03:37:36.470 --> 03:37:38.470]  we all know it's wrong
[03:37:38.470 --> 03:37:40.470]  but it's so ingrained
[03:37:40.470 --> 03:37:42.470]  it's just
[03:37:42.470 --> 03:37:44.470]  reflexive
[03:37:44.470 --> 03:37:46.470]  the older you are the more reflexive it is
[03:37:46.470 --> 03:37:48.470]  for you too
[03:37:48.470 --> 03:37:50.470]  that study
[03:37:50.470 --> 03:37:52.470]  I remember reading it and having a few questions
[03:37:52.470 --> 03:37:54.470]  because it's pretty subjective
[03:37:54.470 --> 03:37:56.470]  as to
[03:37:56.470 --> 03:37:58.470]  how people explain
[03:37:58.470 --> 03:38:00.470]  how high they are
[03:38:00.470 --> 03:38:02.470]  there's not a highness scale
[03:38:02.690 --> 03:38:04.690]  it's not like they're in the medical units
[03:38:04.690 --> 03:38:06.690]  or something
[03:38:06.690 --> 03:38:08.690]  but it's interesting
[03:38:08.690 --> 03:38:10.690]  because
[03:38:10.690 --> 03:38:12.690]  all bets are off for edibles
[03:38:12.690 --> 03:38:14.690]  which makes sense
[03:38:14.690 --> 03:38:16.690]  because lots of times you puff
[03:38:16.690 --> 03:38:18.690]  you hit that ceiling
[03:38:18.690 --> 03:38:20.690]  and that's really as far as you're going to go puffing
[03:38:20.690 --> 03:38:22.690]  whereas you can take edibles
[03:38:22.690 --> 03:38:24.690]  and be on a 3 day bender
[03:38:24.690 --> 03:38:26.690]  where it's absolutely
[03:38:26.690 --> 03:38:28.690]  psychedelic, you're hallucinating
[03:38:28.690 --> 03:38:30.690]  and hearing voices and it's a whole other level
[03:38:30.910 --> 03:38:32.910]  I have to say about 11 o'clock
[03:38:32.910 --> 03:38:34.910]  this morning actually
[03:38:34.910 --> 03:38:36.910]  I'm coming down now
[03:38:36.910 --> 03:38:38.910]  it's beautiful
[03:38:38.910 --> 03:38:40.910]  I love edibles, honestly if I had to choose
[03:38:40.910 --> 03:38:42.910]  if I could only
[03:38:42.910 --> 03:38:44.910]  inhale or vape
[03:38:44.910 --> 03:38:46.910]  vs edibles
[03:38:46.910 --> 03:38:48.910]  I would take edibles
[03:38:48.910 --> 03:38:50.910]  honestly I know you lose
[03:38:50.910 --> 03:38:52.910]  the sensory which I really dig
[03:38:52.910 --> 03:38:54.910]  I love the smell and taste
[03:38:54.910 --> 03:38:56.910]  but I love the feeling of
[03:38:56.910 --> 03:38:58.910]  edibles and that full body feeling
[03:38:59.130 --> 03:39:01.130]  and it's such a basic thing
[03:39:01.130 --> 03:39:03.130]  that you can just make an infusion
[03:39:03.130 --> 03:39:05.130]  and cooking oil with some back yard
[03:39:05.130 --> 03:39:07.130]  home grown even if it's only
[03:39:07.130 --> 03:39:09.130]  halfway finished, whatever
[03:39:09.130 --> 03:39:11.130]  you can make something out of it
[03:39:11.130 --> 03:39:13.130]  and it's just
[03:39:13.130 --> 03:39:15.130]  it's
[03:39:15.130 --> 03:39:17.130]  for everybody
[03:39:17.130 --> 03:39:19.130]  you can take a little, you can take a lot
[03:39:19.130 --> 03:39:21.130]  you can get the full rate
[03:39:21.130 --> 03:39:23.130]  like I can get higher with some basic
[03:39:23.130 --> 03:39:25.130]  cooking oil than I can
[03:39:25.130 --> 03:39:27.130]  with the fanciest Babrig
[03:39:27.350 --> 03:39:29.350]  it always puts it into perspective
[03:39:29.350 --> 03:39:31.350]  for me, I love a delicious dad
[03:39:31.350 --> 03:39:33.350]  don't get me wrong, I appreciate
[03:39:33.350 --> 03:39:35.350]  beautiful ribs and what not
[03:39:35.350 --> 03:39:37.350]  but it's so simple
[03:39:37.350 --> 03:39:39.350]  it's really just cooking oil
[03:39:39.350 --> 03:39:41.350]  if you need it and you're rich
[03:39:41.350 --> 03:39:43.350]  or medicated however
[03:39:43.350 --> 03:39:45.350]  you need it
[03:39:45.350 --> 03:39:47.350]  Steve, you look
[03:39:47.350 --> 03:39:49.350]  like a man who enjoys the finer
[03:39:49.350 --> 03:39:51.350]  things in life, I think
[03:39:51.350 --> 03:39:53.350]  what I'd like to see
[03:39:53.350 --> 03:39:55.350]  in your
[03:39:55.570 --> 03:39:57.570]  comfortableness in this
[03:39:57.570 --> 03:39:59.570]  conversation is for you
[03:39:59.570 --> 03:40:01.570]  to move to the pool
[03:40:01.570 --> 03:40:03.570]  is that
[03:40:03.570 --> 03:40:05.570]  feasible? Well I could
[03:40:05.570 --> 03:40:07.570]  do it but you know the sun's starting
[03:40:07.570 --> 03:40:09.570]  to go behind the mountain
[03:40:09.570 --> 03:40:11.570]  now it's not as nice as it was
[03:40:11.570 --> 03:40:13.570]  although I could do it
[03:40:15.570 --> 03:40:17.570]  It may not be optimal
[03:40:17.570 --> 03:40:19.570]  but Kevin has
[03:40:19.570 --> 03:40:21.570]  his baby
[03:40:21.570 --> 03:40:23.570]  that's his money shot, we need
[03:40:23.790 --> 03:40:25.790]  to see you floating in the pool
[03:40:25.790 --> 03:40:27.790]  if I must, but you'll have to give me
[03:40:27.790 --> 03:40:29.790]  a minute to go and throw on
[03:40:29.790 --> 03:40:31.790]  my suit here
[03:40:31.790 --> 03:40:33.790]  or this will become a
[03:40:33.790 --> 03:40:35.790]  video
[03:40:35.790 --> 03:40:37.790]  so while
[03:40:37.790 --> 03:40:39.790]  Steve puts on his bathing suit
[03:40:39.790 --> 03:40:41.790]  Wendy, someone
[03:40:41.790 --> 03:40:43.790]  asked how you control pests
[03:40:43.790 --> 03:40:45.790]  and diseases with JADAM
[03:40:49.790 --> 03:40:51.790]  this is kind of a two-fold question
[03:40:52.010 --> 03:40:54.010]  Korean natural farming and JADAM
[03:40:54.010 --> 03:40:56.010]  are very different, people tend to equate
[03:40:56.010 --> 03:40:58.010]  them as one and the same but they're really not
[03:40:58.010 --> 03:41:00.010]  they both work equally well
[03:41:00.010 --> 03:41:02.010]  it's a different mentality
[03:41:02.010 --> 03:41:04.010]  I prefer
[03:41:04.010 --> 03:41:06.010]  natural farming, there's really
[03:41:06.010 --> 03:41:08.010]  an intention that goes with
[03:41:08.010 --> 03:41:10.010]  natural farming, it's almost
[03:41:10.010 --> 03:41:12.010]  a spirituality, it's almost a religion in a way
[03:41:12.010 --> 03:41:14.010]  in that everything that you do
[03:41:14.010 --> 03:41:16.010]  really, they're not
[03:41:16.010 --> 03:41:18.010]  fast processes, they take time
[03:41:18.010 --> 03:41:20.010]  so it gives you time to ground and really
[03:41:20.230 --> 03:41:22.230]  pay attention to what you're making
[03:41:22.230 --> 03:41:24.230]  for your plants
[03:41:24.230 --> 03:41:26.230]  with natural farming, there's no pesticides
[03:41:26.230 --> 03:41:28.230]  they don't include pesticides
[03:41:28.230 --> 03:41:30.230]  and there's a really good reason for that
[03:41:30.230 --> 03:41:32.230]  and the reason is that
[03:41:32.230 --> 03:41:34.230]  if you're doing natural farming
[03:41:34.230 --> 03:41:36.230]  so I just literally wrapped up
[03:41:36.230 --> 03:41:38.230]  an IMO 3 pile today
[03:41:38.230 --> 03:41:40.230]  which is indigenous microorganisms, you collect them
[03:41:40.230 --> 03:41:42.230]  from the woods, from undisturbed locations
[03:41:42.230 --> 03:41:44.230]  and you bring them in and you culture
[03:41:44.230 --> 03:41:46.230]  them out and then you inoculate your soil
[03:41:46.230 --> 03:41:48.230]  and if you're doing that, you're adding
[03:41:48.450 --> 03:41:50.450]  so much biodiversity that
[03:41:50.450 --> 03:41:52.450]  this comes back into that strength of the plant
[03:41:52.450 --> 03:41:54.450]  discussion and conversation
[03:41:54.450 --> 03:41:56.450]  so our full term plants
[03:41:56.450 --> 03:41:58.450]  we haven't
[03:41:58.450 --> 03:42:00.450]  fertilized, we haven't sprayed, we have not done
[03:42:00.450 --> 03:42:02.450]  a single thing to those plants other than
[03:42:02.450 --> 03:42:04.450]  when we put them in the ground, well they do get
[03:42:04.450 --> 03:42:06.450]  irrigation, but other than that
[03:42:06.450 --> 03:42:08.450]  that's all that we did for those plants
[03:42:08.450 --> 03:42:10.450]  we do have a couple aphids here and there
[03:42:10.450 --> 03:42:12.450]  but we do not have infestation at all
[03:42:12.450 --> 03:42:14.450]  and the reason is because
[03:42:14.450 --> 03:42:16.450]  those plants have such a strong
[03:42:16.670 --> 03:42:18.670]  biodiversity in the soil, the living soil
[03:42:18.670 --> 03:42:20.670]  is so robust
[03:42:20.670 --> 03:42:22.670]  that the plant is so incredibly strong
[03:42:22.670 --> 03:42:24.670]  that it just fends off any diseases
[03:42:24.670 --> 03:42:26.670]  so if you're doing natural
[03:42:26.670 --> 03:42:28.670]  farming correctly, you're in ground
[03:42:28.670 --> 03:42:30.670]  again this really can't be done in pots
[03:42:30.670 --> 03:42:32.670]  unless you're getting up above
[03:42:32.670 --> 03:42:34.670]  at least 65 gallons
[03:42:34.670 --> 03:42:36.670]  and that's kind of a smaller sized pot
[03:42:36.670 --> 03:42:38.670]  for natural farming
[03:42:38.670 --> 03:42:40.670]  but if you're in ground, you have a strong enough plant
[03:42:40.670 --> 03:42:42.670]  you don't need to worry about it
[03:42:42.670 --> 03:42:44.670]  Jadon is a different process
[03:42:44.890 --> 03:42:46.890]  it uses a lot more anaerobic processes
[03:42:46.890 --> 03:42:48.890]  so you're doing like Jadon liquid fertilizer
[03:42:48.890 --> 03:42:50.890]  which is, I call it, you throw shit
[03:42:50.890 --> 03:42:52.890]  in a bucket and let it putrefy
[03:42:52.890 --> 03:42:54.890]  it's, I can't
[03:42:54.890 --> 03:42:56.890]  it's, ugh, the smell is just gross
[03:42:56.890 --> 03:42:58.890]  so it's not my go-to at all
[03:42:58.890 --> 03:43:00.890]  but with those processes
[03:43:00.890 --> 03:43:02.890]  because you're not really
[03:43:02.890 --> 03:43:04.890]  inoculating with as much
[03:43:04.890 --> 03:43:06.890]  fungal diversity, which is what
[03:43:06.890 --> 03:43:08.890]  natural farming basis is, it's all about
[03:43:08.890 --> 03:43:10.890]  fungi in the soil, extremely
[03:43:10.890 --> 03:43:12.890]  diverse, many collections
[03:43:13.110 --> 03:43:15.110]  it takes years to really
[03:43:15.110 --> 03:43:17.110]  get it rolling properly
[03:43:17.110 --> 03:43:19.110]  Jadon is a lot faster
[03:43:19.110 --> 03:43:21.110]  you can start doing that tomorrow, you can have things going
[03:43:21.110 --> 03:43:23.110]  in a very short period of time, but
[03:43:23.110 --> 03:43:25.110]  your soil isn't as healthy
[03:43:25.110 --> 03:43:27.110]  I mean, I don't
[03:43:27.110 --> 03:43:29.110]  I shouldn't say that because I don't do Jadon so I don't know for certain
[03:43:29.110 --> 03:43:31.110]  I scope my soil, I scope my IMO
[03:43:31.110 --> 03:43:33.110]  I just, I'm trying to post on Instagram
[03:43:33.110 --> 03:43:35.110]  all of the fungal propagules that are
[03:43:35.110 --> 03:43:37.110]  all over this pile, I mean it's the best
[03:43:37.110 --> 03:43:39.110]  one I've ever had, and I know that's
[03:43:39.110 --> 03:43:41.110]  because my indigenous microorganism collections
[03:43:41.330 --> 03:43:43.330]  are getting better
[03:43:43.330 --> 03:43:45.330]  so with Jadon, maybe your soil is
[03:43:45.330 --> 03:43:47.330]  as good, but I feel like
[03:43:47.330 --> 03:43:49.330]  it doesn't tend to be quite
[03:43:49.330 --> 03:43:51.330]  so they do have pesticide
[03:43:51.330 --> 03:43:53.330]  applications for that
[03:43:53.330 --> 03:43:55.330]  and as you're transitioning over
[03:43:55.330 --> 03:43:57.330]  it's a lovely tool to have in your toolbox
[03:43:57.330 --> 03:43:59.330]  JWA is your Jadon
[03:43:59.330 --> 03:44:01.330]  wetting agent, that's used
[03:44:01.330 --> 03:44:03.330]  at a 1 to 100 to 1 to 50 ratio
[03:44:03.330 --> 03:44:05.330]  and it's basically a Castile soap
[03:44:05.330 --> 03:44:07.330]  but you make it yourself, it's dirt cheap
[03:44:07.330 --> 03:44:09.330]  literally cheaper than dirt
[03:44:09.550 --> 03:44:11.550]  I buy a lot
[03:44:11.550 --> 03:44:13.550]  and it's a great, it's basically a safer
[03:44:13.550 --> 03:44:15.550]  soap, it's a, what is safer soap?
[03:44:15.550 --> 03:44:17.550]  Fatty acid
[03:44:17.550 --> 03:44:19.550]  of potassium salt
[03:44:19.550 --> 03:44:21.550]  I think, so you're
[03:44:21.550 --> 03:44:23.550]  making that and it works
[03:44:23.550 --> 03:44:25.550]  wonderfully, it actually, we've had some
[03:44:25.550 --> 03:44:27.550]  great eradication of aphids
[03:44:27.550 --> 03:44:29.550]  using just Jadon wetting
[03:44:29.550 --> 03:44:31.550]  agent, at that 1 to 100
[03:44:31.550 --> 03:44:33.550]  to 1 to 500 ratio, or 1 to
[03:44:33.550 --> 03:44:35.550]  100 to 1 to 50 ratio
[03:44:35.550 --> 03:44:37.550]  and then if you want to keep
[03:44:37.770 --> 03:44:39.770]  going in that direction and really make a natural
[03:44:39.770 --> 03:44:41.770]  pesticide, that will
[03:44:41.770 --> 03:44:43.770]  Steve is saying that Jadon wetting agent
[03:44:43.770 --> 03:44:45.770]  will kill fish, so that's
[03:44:45.770 --> 03:44:47.770]  good to know
[03:44:47.770 --> 03:44:49.770]  I'm not aware of that
[03:44:49.770 --> 03:44:51.770]  but that would be something to pay attention to
[03:44:51.770 --> 03:44:53.770]  Yeah, it's yucca specifically
[03:44:53.770 --> 03:44:55.770]  What's that? It's yucca specifically
[03:44:55.770 --> 03:44:57.770]  native people, used to
[03:44:57.770 --> 03:44:59.770]  throw that in rivers and harvest fish that way
[03:44:59.770 --> 03:45:01.770]  Yeah, JWA doesn't use
[03:45:01.770 --> 03:45:03.770]  yucca, so
[03:45:03.770 --> 03:45:05.770]  There's a handful of plants that you can do that with
[03:45:05.990 --> 03:45:07.990]  Yeah
[03:45:07.990 --> 03:45:09.990]  Just the nature of soap will do that too. Wendy, while I've got you
[03:45:09.990 --> 03:45:11.990]  can you share with me and with the rest of us
[03:45:11.990 --> 03:45:13.990]  where we can find you? I don't know how to
[03:45:13.990 --> 03:45:15.990]  follow you or
[03:45:15.990 --> 03:45:17.990]  Oh, yeah, Sunnabis
[03:45:17.990 --> 03:45:19.990]  Hi
[03:45:19.990 --> 03:45:21.990]  I'm Sunnabis, S-U-N-N-A-B-I-S
[03:45:21.990 --> 03:45:23.990]  Sunnabis on Instagram
[03:45:23.990 --> 03:45:25.990]  I believe we're still under
[03:45:25.990 --> 03:45:27.990]  Humboldt's Full Sun Farms on
[03:45:27.990 --> 03:45:29.990]  Facebook
[03:45:29.990 --> 03:45:31.990]  I'm not the most technologically savvy
[03:45:31.990 --> 03:45:33.990]  so changing things over, I just leave it where it is
[03:45:34.210 --> 03:45:36.210]  It's fine
[03:45:36.210 --> 03:45:38.210]  Mostly on Instagram though is where I
[03:45:38.210 --> 03:45:40.210]  do a lot of my trials
[03:45:40.210 --> 03:45:42.210]  I do a lot of side by sides
[03:45:42.210 --> 03:45:44.210]  just things that kind of
[03:45:44.210 --> 03:45:46.210]  some things just kind of happen and other things
[03:45:46.210 --> 03:45:48.210]  I do on purpose. Most things I do on purpose
[03:45:48.210 --> 03:45:50.210]  Yeah, that's it
[03:45:50.210 --> 03:45:52.210]  So
[03:45:52.210 --> 03:45:54.210]  Yeah, so be aware with the
[03:45:54.210 --> 03:45:56.210]  wedding agent that you want to
[03:45:56.210 --> 03:45:58.210]  in my opinion, you want to stay away from
[03:45:58.210 --> 03:46:00.210]  waterways with all of this stuff
[03:46:00.210 --> 03:46:02.210]  It doesn't really matter what you're putting on
[03:46:02.430 --> 03:46:04.430]  Just be conscientious
[03:46:04.430 --> 03:46:06.430]  Again, another reason why I like natural farming
[03:46:06.430 --> 03:46:08.430]  because you don't need this stuff
[03:46:08.430 --> 03:46:10.430]  But it does take time to get there
